metric_a,metric_b,min_abs_across_domains_scopes,arxiv_sample,arxiv_extended,arxiv_nonoverlap,github_sample,github_extended,github_nonoverlap
rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,0.739290169704,-0.819085186972,-0.819590907072,-0.819451987377,-0.739290169704,-0.743995771954,-0.744232195236
rps_doc_frac_no_alph_words,rps_lines_uppercase_letter_fraction,0.360618039926,-0.370132192636,-0.361384188713,-0.360618039926,-0.416345961559,-0.418402986076,-0.418516577186
dsir_wiki,rps_doc_frac_no_alph_words,0.321868020396,-0.624450417046,-0.629783321800,-0.630340675098,-0.327505155736,-0.322147209389,-0.321868020396
dsir_books,rps_doc_frac_no_alph_words,0.321583167435,-0.621767186690,-0.627402793487,-0.627994038979,-0.327314112376,-0.321867733154,-0.321583167435
dsir_math,rps_doc_frac_no_alph_words,0.314311858345,-0.588438987691,-0.595183334036,-0.595875807991,-0.319509600000,-0.314571679922,-0.314311858345
rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,0.259255862565,-0.360659028502,-0.379930534417,-0.381719180324,-0.259255862565,-0.263045582979,-0.263245234629
modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,0.238727912269,-0.238727912269,-0.255429196958,-0.256926488680,-0.245228366038,-0.243406618651,-0.243303234148
dsir_wiki,rps_lines_ending_with_terminal_punctution_mark,0.220352711324,-0.220352711324,-0.221999430297,-0.221825482073,-0.338219333377,-0.337305098531,-0.337256681485
dsir_books,rps_lines_ending_with_terminal_punctution_mark,0.218579842056,-0.218579842056,-0.221590509920,-0.221523999779,-0.338012828257,-0.336943782209,-0.336887664304
rps_doc_unigram_entropy,rps_doc_frac_no_alph_words,0.204659291659,-0.204659291659,-0.217594759813,-0.218705858310,-0.242520999338,-0.237036349377,-0.236750263296
dsir_math,rps_lines_ending_with_terminal_punctution_mark,0.194239689954,-0.194239689954,-0.199394933751,-0.199546993561,-0.332661253204,-0.332142506762,-0.332112549624
rps_doc_num_sentences,rps_doc_frac_no_alph_words,0.183177052064,-0.183177052064,-0.186165264113,-0.186378286019,-0.185396972273,-0.190073468104,-0.190320983501
modernbert_professionalism,rps_doc_mean_word_length,0.169792556318,-0.183746586804,-0.170882403517,-0.169792556318,-0.203073770959,-0.196642708251,-0.196301478237
modernbert_professionalism,rps_doc_frac_no_alph_words,0.157456020092,-0.524600978354,-0.520560558305,-0.520158108913,-0.160288679602,-0.157583840038,-0.157456020092
fineweb_edu,rps_doc_frac_chars_top_2gram,0.143998685387,-0.165066712730,-0.172778393563,-0.173396513440,-0.155630375963,-0.144574128391,-0.143998685387
