dataset_scope,quality_domain,metric,n_rows,missing,missing_rate
sample,arxiv,fineweb_edu,1419,0,0.0
sample,arxiv,fluency_en,1419,0,0.0
sample,arxiv,modernbert_cleanliness,1419,0,0.0
sample,arxiv,modernbert_readability,1419,0,0.0
sample,arxiv,modernbert_reasoning,1419,0,0.0
sample,arxiv,modernbert_professionalism,1419,0,0.0
sample,arxiv,dsir_books,1419,0,0.0
sample,arxiv,dsir_wiki,1419,0,0.0
sample,arxiv,dsir_math,1419,0,0.0
sample,arxiv,qurater,1419,0,0.0
sample,arxiv,ad_en,1419,0,0.0
sample,arxiv,rps_doc_word_count,1419,0,0.0
sample,arxiv,rps_doc_num_sentences,1419,0,0.0
sample,arxiv,rps_doc_unigram_entropy,1419,0,0.0
sample,arxiv,rps_doc_frac_unique_words,1419,0,0.0
sample,arxiv,rps_doc_frac_no_alph_words,1419,0,0.0
sample,arxiv,rps_doc_frac_chars_top_2gram,1419,0,0.0
sample,arxiv,rps_doc_frac_chars_top_3gram,1419,0,0.0
sample,arxiv,rps_lines_uppercase_letter_fraction,1419,0,0.0
sample,arxiv,rps_lines_ending_with_terminal_punctution_mark,1419,0,0.0
sample,arxiv,rps_lines_numerical_chars_fraction,1419,0,0.0
sample,arxiv,rps_doc_mean_word_length,1419,0,0.0
sample,book,fineweb_edu,171,0,0.0
sample,book,fluency_en,171,0,0.0
sample,book,modernbert_cleanliness,171,0,0.0
sample,book,modernbert_readability,171,0,0.0
sample,book,modernbert_reasoning,171,0,0.0
sample,book,modernbert_professionalism,171,0,0.0
sample,book,dsir_books,171,0,0.0
sample,book,dsir_wiki,171,0,0.0
sample,book,dsir_math,171,0,0.0
sample,book,qurater,171,0,0.0
sample,book,ad_en,171,0,0.0
sample,book,rps_doc_word_count,171,0,0.0
sample,book,rps_doc_num_sentences,171,0,0.0
sample,book,rps_doc_unigram_entropy,171,0,0.0
sample,book,rps_doc_frac_unique_words,171,0,0.0
sample,book,rps_doc_frac_no_alph_words,171,0,0.0
sample,book,rps_doc_frac_chars_top_2gram,171,0,0.0
sample,book,rps_doc_frac_chars_top_3gram,171,0,0.0
sample,book,rps_lines_uppercase_letter_fraction,171,0,0.0
sample,book,rps_lines_ending_with_terminal_punctution_mark,171,0,0.0
sample,book,rps_lines_numerical_chars_fraction,171,0,0.0
sample,book,rps_doc_mean_word_length,171,0,0.0
sample,c4,fineweb_edu,10000,0,0.0
sample,c4,fluency_en,10000,0,0.0
sample,c4,modernbert_cleanliness,10000,0,0.0
sample,c4,modernbert_readability,10000,0,0.0
sample,c4,modernbert_reasoning,10000,0,0.0
sample,c4,modernbert_professionalism,10000,0,0.0
sample,c4,dsir_books,10000,0,0.0
sample,c4,dsir_wiki,10000,0,0.0
sample,c4,dsir_math,10000,0,0.0
sample,c4,qurater,10000,0,0.0
sample,c4,ad_en,10000,0,0.0
sample,c4,rps_doc_word_count,10000,0,0.0
sample,c4,rps_doc_num_sentences,10000,0,0.0
sample,c4,rps_doc_unigram_entropy,10000,0,0.0
sample,c4,rps_doc_frac_unique_words,10000,0,0.0
sample,c4,rps_doc_frac_no_alph_words,10000,0,0.0
sample,c4,rps_doc_frac_chars_top_2gram,10000,0,0.0
sample,c4,rps_doc_frac_chars_top_3gram,10000,0,0.0
sample,c4,rps_lines_uppercase_letter_fraction,10000,0,0.0
sample,c4,rps_lines_ending_with_terminal_punctution_mark,10000,0,0.0
sample,c4,rps_lines_numerical_chars_fraction,10000,0,0.0
sample,c4,rps_doc_mean_word_length,10000,0,0.0
sample,commoncrawl,fineweb_edu,9640,0,0.0
sample,commoncrawl,fluency_en,9640,0,0.0
sample,commoncrawl,modernbert_cleanliness,9640,0,0.0
sample,commoncrawl,modernbert_readability,9640,0,0.0
sample,commoncrawl,modernbert_reasoning,9640,0,0.0
sample,commoncrawl,modernbert_professionalism,9640,4,0.0004149377593360996
sample,commoncrawl,dsir_books,9640,0,0.0
sample,commoncrawl,dsir_wiki,9640,0,0.0
sample,commoncrawl,dsir_math,9640,0,0.0
sample,commoncrawl,qurater,9640,0,0.0
sample,commoncrawl,ad_en,9640,0,0.0
sample,commoncrawl,rps_doc_word_count,9640,0,0.0
sample,commoncrawl,rps_doc_num_sentences,9640,0,0.0
sample,commoncrawl,rps_doc_unigram_entropy,9640,0,0.0
sample,commoncrawl,rps_doc_frac_unique_words,9640,0,0.0
sample,commoncrawl,rps_doc_frac_no_alph_words,9640,0,0.0
sample,commoncrawl,rps_doc_frac_chars_top_2gram,9640,0,0.0
sample,commoncrawl,rps_doc_frac_chars_top_3gram,9640,0,0.0
sample,commoncrawl,rps_lines_uppercase_letter_fraction,9640,0,0.0
sample,commoncrawl,rps_lines_ending_with_terminal_punctution_mark,9640,0,0.0
sample,commoncrawl,rps_lines_numerical_chars_fraction,9640,0,0.0
sample,commoncrawl,rps_doc_mean_word_length,9640,0,0.0
sample,github,fineweb_edu,10000,0,0.0
sample,github,fluency_en,10000,0,0.0
sample,github,modernbert_cleanliness,10000,0,0.0
sample,github,modernbert_readability,10000,0,0.0
sample,github,modernbert_reasoning,10000,0,0.0
sample,github,modernbert_professionalism,10000,0,0.0
sample,github,dsir_books,10000,0,0.0
sample,github,dsir_wiki,10000,0,0.0
sample,github,dsir_math,10000,0,0.0
sample,github,qurater,10000,0,0.0
sample,github,ad_en,10000,0,0.0
sample,github,rps_doc_word_count,10000,0,0.0
sample,github,rps_doc_num_sentences,10000,0,0.0
sample,github,rps_doc_unigram_entropy,10000,0,0.0
sample,github,rps_doc_frac_unique_words,10000,0,0.0
sample,github,rps_doc_frac_no_alph_words,10000,0,0.0
sample,github,rps_doc_frac_chars_top_2gram,10000,0,0.0
sample,github,rps_doc_frac_chars_top_3gram,10000,0,0.0
sample,github,rps_lines_uppercase_letter_fraction,10000,0,0.0
sample,github,rps_lines_ending_with_terminal_punctution_mark,10000,0,0.0
sample,github,rps_lines_numerical_chars_fraction,10000,0,0.0
sample,github,rps_doc_mean_word_length,10000,0,0.0
sample,stackexchange,fineweb_edu,10000,0,0.0
sample,stackexchange,fluency_en,10000,0,0.0
sample,stackexchange,modernbert_cleanliness,10000,0,0.0
sample,stackexchange,modernbert_readability,10000,0,0.0
sample,stackexchange,modernbert_reasoning,10000,0,0.0
sample,stackexchange,modernbert_professionalism,10000,0,0.0
sample,stackexchange,dsir_books,10000,0,0.0
sample,stackexchange,dsir_wiki,10000,0,0.0
sample,stackexchange,dsir_math,10000,0,0.0
sample,stackexchange,qurater,10000,0,0.0
sample,stackexchange,ad_en,10000,0,0.0
sample,stackexchange,rps_doc_word_count,10000,0,0.0
sample,stackexchange,rps_doc_num_sentences,10000,0,0.0
sample,stackexchange,rps_doc_unigram_entropy,10000,0,0.0
sample,stackexchange,rps_doc_frac_unique_words,10000,0,0.0
sample,stackexchange,rps_doc_frac_no_alph_words,10000,0,0.0
sample,stackexchange,rps_doc_frac_chars_top_2gram,10000,0,0.0
sample,stackexchange,rps_doc_frac_chars_top_3gram,10000,0,0.0
sample,stackexchange,rps_lines_uppercase_letter_fraction,10000,0,0.0
sample,stackexchange,rps_lines_ending_with_terminal_punctution_mark,10000,0,0.0
sample,stackexchange,rps_lines_numerical_chars_fraction,10000,0,0.0
sample,stackexchange,rps_doc_mean_word_length,10000,0,0.0
sample,wikipedia,fineweb_edu,10000,0,0.0
sample,wikipedia,fluency_en,10000,0,0.0
sample,wikipedia,modernbert_cleanliness,10000,0,0.0
sample,wikipedia,modernbert_readability,10000,0,0.0
sample,wikipedia,modernbert_reasoning,10000,13,0.0013
sample,wikipedia,modernbert_professionalism,10000,1,0.0001
sample,wikipedia,dsir_books,10000,0,0.0
sample,wikipedia,dsir_wiki,10000,0,0.0
sample,wikipedia,dsir_math,10000,0,0.0
sample,wikipedia,qurater,10000,0,0.0
sample,wikipedia,ad_en,10000,0,0.0
sample,wikipedia,rps_doc_word_count,10000,0,0.0
sample,wikipedia,rps_doc_num_sentences,10000,0,0.0
sample,wikipedia,rps_doc_unigram_entropy,10000,0,0.0
sample,wikipedia,rps_doc_frac_unique_words,10000,0,0.0
sample,wikipedia,rps_doc_frac_no_alph_words,10000,0,0.0
sample,wikipedia,rps_doc_frac_chars_top_2gram,10000,0,0.0
sample,wikipedia,rps_doc_frac_chars_top_3gram,10000,0,0.0
sample,wikipedia,rps_lines_uppercase_letter_fraction,10000,0,0.0
sample,wikipedia,rps_lines_ending_with_terminal_punctution_mark,10000,0,0.0
sample,wikipedia,rps_lines_numerical_chars_fraction,10000,0,0.0
sample,wikipedia,rps_doc_mean_word_length,10000,0,0.0
arxiv_extended,arxiv,fineweb_edu,17523,0,0.0
arxiv_extended,arxiv,fluency_en,17523,0,0.0
arxiv_extended,arxiv,modernbert_cleanliness,17523,0,0.0
arxiv_extended,arxiv,modernbert_readability,17523,0,0.0
arxiv_extended,arxiv,modernbert_reasoning,17523,0,0.0
arxiv_extended,arxiv,modernbert_professionalism,17523,0,0.0
arxiv_extended,arxiv,dsir_books,17523,0,0.0
arxiv_extended,arxiv,dsir_wiki,17523,0,0.0
arxiv_extended,arxiv,dsir_math,17523,0,0.0
arxiv_extended,arxiv,qurater,17523,0,0.0
arxiv_extended,arxiv,ad_en,17523,0,0.0
arxiv_extended,arxiv,rps_doc_word_count,17523,0,0.0
arxiv_extended,arxiv,rps_doc_num_sentences,17523,0,0.0
arxiv_extended,arxiv,rps_doc_unigram_entropy,17523,0,0.0
arxiv_extended,arxiv,rps_doc_frac_unique_words,17523,0,0.0
arxiv_extended,arxiv,rps_doc_frac_no_alph_words,17523,0,0.0
arxiv_extended,arxiv,rps_doc_frac_chars_top_2gram,17523,0,0.0
arxiv_extended,arxiv,rps_doc_frac_chars_top_3gram,17523,0,0.0
arxiv_extended,arxiv,rps_lines_uppercase_letter_fraction,17523,0,0.0
arxiv_extended,arxiv,rps_lines_ending_with_terminal_punctution_mark,17523,0,0.0
arxiv_extended,arxiv,rps_lines_numerical_chars_fraction,17523,0,0.0
arxiv_extended,arxiv,rps_doc_mean_word_length,17523,0,0.0
github_extended,github,fineweb_edu,203752,0,0.0
github_extended,github,fluency_en,203752,0,0.0
github_extended,github,modernbert_cleanliness,203752,0,0.0
github_extended,github,modernbert_readability,203752,0,0.0
github_extended,github,modernbert_reasoning,203752,0,0.0
github_extended,github,modernbert_professionalism,203752,1,4.907927284149358e-06
github_extended,github,dsir_books,203752,0,0.0
github_extended,github,dsir_wiki,203752,0,0.0
github_extended,github,dsir_math,203752,0,0.0
github_extended,github,qurater,203752,0,0.0
github_extended,github,ad_en,203752,0,0.0
github_extended,github,rps_doc_word_count,203752,0,0.0
github_extended,github,rps_doc_num_sentences,203752,0,0.0
github_extended,github,rps_doc_unigram_entropy,203752,0,0.0
github_extended,github,rps_doc_frac_unique_words,203752,0,0.0
github_extended,github,rps_doc_frac_no_alph_words,203752,0,0.0
github_extended,github,rps_doc_frac_chars_top_2gram,203752,0,0.0
github_extended,github,rps_doc_frac_chars_top_3gram,203752,0,0.0
github_extended,github,rps_lines_uppercase_letter_fraction,203752,0,0.0
github_extended,github,rps_lines_ending_with_terminal_punctution_mark,203752,0,0.0
github_extended,github,rps_lines_numerical_chars_fraction,203752,0,0.0
github_extended,github,rps_doc_mean_word_length,203752,0,0.0
