metric,median,scale,family,global_rho,abs_global_rho,orientation,orientation_source,n_valid
fineweb_edu,1.2148745656013489,0.5490590432703495,model,,,1,semantic_model_field,51230
fluency_en,0.8981651822653025,0.14863889074432166,model,,,1,semantic_model_field,51230
modernbert_cleanliness,3.9992918000349533,1.422137911174718,model,,,1,semantic_model_field,51230
modernbert_readability,4.05409987084105,0.9334089515385036,model,,,1,semantic_model_field,51230
modernbert_reasoning,1.2472959163919999,0.6858092846008559,model,,,1,semantic_model_field,51217
modernbert_professionalism,2.764643821659705,1.8951260258704201,model,,,1,semantic_model_field,51225
dsir_books,-7.652178301307116,0.8775620102409606,dsir,-0.30429421064483236,0.30429421064483236,-1,global_spearman_sign,51230
dsir_wiki,-7.663880277420098,0.8817529322877095,dsir,-0.30511390922448145,0.30511390922448145,-1,global_spearman_sign,51230
dsir_math,-7.662470700885175,0.8885465850535198,dsir,-0.3008876827758244,0.3008876827758244,-1,global_spearman_sign,51230
qurater,-0.04363250732421875,1.804068292236328,model,,,1,semantic_model_field,51230
ad_en,0.9942808705048786,0.007703224589487208,model,,,1,semantic_model_field,51230
rps_doc_word_count,5.537334267018537,1.213959395582811,rps,0.38691328159774424,0.38691328159774424,1,global_spearman_sign,51230
rps_doc_num_sentences,3.044522437723423,1.129948841164729,rps,0.28261076234585175,0.28261076234585175,1,global_spearman_sign,51230
rps_doc_unigram_entropy,4.60656079,0.8008362641159994,rps,0.3557438063265535,0.3557438063265535,1,global_spearman_sign,51230
rps_doc_frac_unique_words,55.73770491803278,15.22948558507632,rps,-0.38329032504751936,0.38329032504751936,-1,global_spearman_sign,51230
rps_doc_frac_no_alph_words,23.4567901234568,5.809369627297357,rps,-0.10642649405210115,0.10642649405210115,-1,global_spearman_sign,51230
rps_doc_frac_chars_top_2gram,2.2703260536077874,1.9818727122766282,rps,-0.09843156830332034,0.09843156830332034,-1,global_spearman_sign,51230
rps_doc_frac_chars_top_3gram,1.7534460126347866,2.36172610372215,rps,0.04059410596946487,0.04059410596946487,1,global_spearman_sign,51230
rps_lines_uppercase_letter_fraction,18.14584024424503,18.39874258270121,rps,0.028317750200824107,0.028317750200824107,1,global_spearman_sign,51230
rps_lines_ending_with_terminal_punctution_mark,50.0,35.635485019124516,rps,0.055612210977891124,0.055612210977891124,1,global_spearman_sign,51230
rps_lines_numerical_chars_fraction,1.197585613397965,1.6477804503992348,rps,0.10524857953248479,0.10524857953248479,1,global_spearman_sign,51230
rps_doc_mean_word_length,5.322730202758136,0.9708298913094624,rps,-0.19904723081456485,0.19904723081456485,-1,global_spearman_sign,51230
