metric,domain,n_valid,rho_domain,sign_domain,agrees_with_primary
fineweb_edu,arxiv,1419,0.7161501118779895,1.0,True
fineweb_edu,book,171,0.6109775121799026,1.0,True
fineweb_edu,c4,10000,0.6685661882643571,1.0,True
fineweb_edu,commoncrawl,9640,0.5688931502523132,1.0,True
fineweb_edu,github,10000,0.48033370009054205,1.0,True
fineweb_edu,stackexchange,10000,0.5101686869675834,1.0,True
fineweb_edu,wikipedia,10000,0.7570867217896488,1.0,True
fluency_en,arxiv,1419,0.5399861103986665,1.0,True
fluency_en,book,171,0.6515075515595876,1.0,True
fluency_en,c4,10000,0.6719634678353684,1.0,True
fluency_en,commoncrawl,9640,0.5611394080438562,1.0,True
fluency_en,github,10000,0.727235904832865,1.0,True
fluency_en,stackexchange,10000,0.634642326231769,1.0,True
fluency_en,wikipedia,10000,0.7678576352213659,1.0,True
modernbert_cleanliness,arxiv,1419,0.18277406876934635,1.0,True
modernbert_cleanliness,book,171,0.6538075695394439,1.0,True
modernbert_cleanliness,c4,10000,0.7316306079563061,1.0,True
modernbert_cleanliness,commoncrawl,9640,0.5674934461058284,1.0,True
modernbert_cleanliness,github,10000,0.5155580454195805,1.0,True
modernbert_cleanliness,stackexchange,10000,0.6847571216355712,1.0,True
modernbert_cleanliness,wikipedia,10000,0.4496789817327898,1.0,True
modernbert_readability,arxiv,1419,0.24155789497733904,1.0,True
modernbert_readability,book,171,0.5457076343389253,1.0,True
modernbert_readability,c4,10000,0.6484944567649445,1.0,True
modernbert_readability,commoncrawl,9640,0.5396998383618993,1.0,True
modernbert_readability,github,10000,0.5201615648696157,1.0,True
modernbert_readability,stackexchange,10000,0.7102599399825994,1.0,True
modernbert_readability,wikipedia,10000,0.699630694248307,1.0,True
modernbert_reasoning,arxiv,1419,0.1276019973384569,1.0,True
modernbert_reasoning,book,171,0.5993357194665501,1.0,True
modernbert_reasoning,c4,10000,0.6068470797409595,1.0,True
modernbert_reasoning,commoncrawl,9640,0.5423511598674738,1.0,True
modernbert_reasoning,github,10000,0.6093753697286782,1.0,True
modernbert_reasoning,stackexchange,10000,0.6680389977187161,1.0,True
modernbert_reasoning,wikipedia,9987,0.34543288373446984,1.0,True
modernbert_professionalism,arxiv,1419,-0.05689736063065355,-1.0,False
modernbert_professionalism,book,171,0.5760625914992681,1.0,True
modernbert_professionalism,c4,10000,0.5440587675525878,1.0,True
modernbert_professionalism,commoncrawl,9636,0.5226170793090915,1.0,True
modernbert_professionalism,github,10000,0.40365212972852127,1.0,True
modernbert_professionalism,stackexchange,10000,0.4392644490006445,1.0,True
modernbert_professionalism,wikipedia,9999,0.35244431976704366,1.0,True
dsir_books,arxiv,1419,0.10667040455896018,1.0,False
dsir_books,book,171,0.019125492897294857,1.0,False
dsir_books,c4,10000,-0.24242142739221428,-1.0,True
dsir_books,commoncrawl,9640,-0.13413818479569092,-1.0,True
dsir_books,github,10000,-0.2289607615847217,-1.0,True
dsir_books,stackexchange,10000,-0.24649804452498042,-1.0,True
dsir_books,wikipedia,10000,-0.3498684380346844,-1.0,True
dsir_wiki,arxiv,1419,0.10973177458227439,1.0,False
dsir_wiki,book,171,0.13021533358604565,1.0,False
dsir_wiki,c4,10000,-0.22938492495784926,-1.0,True
dsir_wiki,commoncrawl,9640,-0.13202738814066617,-1.0,True
dsir_wiki,github,10000,-0.2293670021772067,-1.0,True
dsir_wiki,stackexchange,10000,-0.25068955819089556,-1.0,True
dsir_wiki,wikipedia,10000,-0.3431972146439721,-1.0,True
dsir_math,arxiv,1419,0.10568905525178648,1.0,False
dsir_math,book,171,0.09914446620323784,1.0,False
dsir_math,c4,10000,-0.24767702456877025,-1.0,True
dsir_math,commoncrawl,9640,-0.14017462883169127,-1.0,True
dsir_math,github,10000,-0.2230886136131045,-1.0,True
dsir_math,stackexchange,10000,-0.22293189503731894,-1.0,True
dsir_math,wikipedia,10000,-0.35899908542599085,-1.0,True
qurater,arxiv,1419,0.5521757479191025,1.0,True
qurater,book,171,0.6449924400604795,1.0,True
qurater,c4,10000,0.8102580746105522,1.0,True
qurater,commoncrawl,9640,0.6792667736318628,1.0,True
qurater,github,10000,0.6471633053863145,1.0,True
qurater,stackexchange,10000,0.7332387942893452,1.0,True
qurater,wikipedia,10000,0.7578628165342242,1.0,True
ad_en,arxiv,1419,0.3141741500470806,1.0,True
ad_en,book,171,0.5202279942316763,1.0,True
ad_en,c4,10000,0.5635012622628179,1.0,True
ad_en,commoncrawl,9640,0.509992864008021,1.0,True
ad_en,github,10000,0.44054502558168096,1.0,True
ad_en,stackexchange,10000,0.41321239055068265,1.0,True
ad_en,wikipedia,10000,0.4968086193997418,1.0,True
rps_doc_word_count,arxiv,1419,-0.022022978474948104,-1.0,False
rps_doc_word_count,book,171,0.06843954725830909,1.0,True
rps_doc_word_count,c4,10000,0.27896625059310465,1.0,True
rps_doc_word_count,commoncrawl,9640,0.17624512887319557,1.0,True
rps_doc_word_count,github,10000,0.3353666943396791,1.0,True
rps_doc_word_count,stackexchange,10000,0.3699879306758452,1.0,True
rps_doc_word_count,wikipedia,10000,0.4112923104423248,1.0,True
rps_doc_num_sentences,arxiv,1419,-0.030177310954138316,-1.0,False
rps_doc_num_sentences,book,171,-0.04931870618000659,-1.0,False
rps_doc_num_sentences,c4,10000,0.15555096410906308,1.0,True
rps_doc_num_sentences,commoncrawl,9640,0.1609751063456725,1.0,True
rps_doc_num_sentences,github,10000,0.23553280366498955,1.0,True
rps_doc_num_sentences,stackexchange,10000,0.11512116010117633,1.0,True
rps_doc_num_sentences,wikipedia,10000,0.35554818759227264,1.0,True
rps_doc_unigram_entropy,arxiv,1419,-0.12434723861857198,-1.0,False
rps_doc_unigram_entropy,book,171,0.19195526435788515,1.0,True
rps_doc_unigram_entropy,c4,10000,0.2762098125560561,1.0,True
rps_doc_unigram_entropy,commoncrawl,9640,0.11949783796533417,1.0,True
rps_doc_unigram_entropy,github,10000,0.3054994271514031,1.0,True
rps_doc_unigram_entropy,stackexchange,10000,0.2751326138957706,1.0,True
rps_doc_unigram_entropy,wikipedia,10000,0.34495712203413526,1.0,True
rps_doc_frac_unique_words,arxiv,1419,-0.038143952751028734,-1.0,True
rps_doc_frac_unique_words,book,171,0.03574291405668755,1.0,False
rps_doc_frac_unique_words,c4,10000,-0.21641290756916431,-1.0,True
rps_doc_frac_unique_words,commoncrawl,9640,-0.1724446503716367,-1.0,True
rps_doc_frac_unique_words,github,10000,-0.3589380619681797,-1.0,True
rps_doc_frac_unique_words,stackexchange,10000,-0.3991981956339488,-1.0,True
rps_doc_frac_unique_words,wikipedia,10000,-0.43092432832718974,-1.0,True
rps_doc_frac_no_alph_words,arxiv,1419,-0.09358896463782074,-1.0,True
rps_doc_frac_no_alph_words,book,171,-0.26368589051287594,-1.0,True
rps_doc_frac_no_alph_words,c4,10000,-0.21697593054116343,-1.0,True
rps_doc_frac_no_alph_words,commoncrawl,9640,-0.23307181381751105,-1.0,True
rps_doc_frac_no_alph_words,github,10000,0.0833354005021686,1.0,False
rps_doc_frac_no_alph_words,stackexchange,10000,0.029241244315285204,1.0,False
rps_doc_frac_no_alph_words,wikipedia,10000,-0.40224689159451144,-1.0,True
rps_doc_frac_chars_top_2gram,arxiv,1419,0.1674710790307582,1.0,False
rps_doc_frac_chars_top_2gram,book,171,0.200952792377661,1.0,False
rps_doc_frac_chars_top_2gram,c4,10000,-0.14556605644005263,-1.0,True
rps_doc_frac_chars_top_2gram,commoncrawl,9640,-0.1584912351948272,-1.0,True
rps_doc_frac_chars_top_2gram,github,10000,0.11748461312306999,1.0,False
rps_doc_frac_chars_top_2gram,stackexchange,10000,-0.13926582176357774,-1.0,True
rps_doc_frac_chars_top_2gram,wikipedia,10000,-0.14202991210177743,-1.0,True
rps_doc_frac_chars_top_3gram,arxiv,1419,0.02187324490036463,1.0,True
rps_doc_frac_chars_top_3gram,book,171,-0.06510667914656683,-1.0,False
rps_doc_frac_chars_top_3gram,c4,10000,-0.049265906118474874,-1.0,False
rps_doc_frac_chars_top_3gram,commoncrawl,9640,-0.17270309227559053,-1.0,False
rps_doc_frac_chars_top_3gram,github,10000,0.1662112527705614,1.0,True
rps_doc_frac_chars_top_3gram,stackexchange,10000,-0.06776576548005464,-1.0,False
rps_doc_frac_chars_top_3gram,wikipedia,10000,0.022864963717322512,1.0,True
rps_lines_uppercase_letter_fraction,arxiv,1419,-0.005074793744081092,-1.0,False
rps_lines_uppercase_letter_fraction,book,171,0.11048791609667123,1.0,True
rps_lines_uppercase_letter_fraction,c4,10000,-0.18198726570017598,-1.0,False
rps_lines_uppercase_letter_fraction,commoncrawl,9640,-0.2379532556982204,-1.0,False
rps_lines_uppercase_letter_fraction,github,10000,0.0014287716079584285,1.0,True
rps_lines_uppercase_letter_fraction,stackexchange,10000,-0.020650205726502058,-1.0,False
rps_lines_uppercase_letter_fraction,wikipedia,10000,0.0014806236208995153,1.0,True
rps_lines_ending_with_terminal_punctution_mark,arxiv,1419,0.00531183185030011,1.0,True
rps_lines_ending_with_terminal_punctution_mark,book,171,-0.13745410036719707,-1.0,False
rps_lines_ending_with_terminal_punctution_mark,c4,10000,,,
rps_lines_ending_with_terminal_punctution_mark,commoncrawl,9640,0.218829343386321,1.0,True
rps_lines_ending_with_terminal_punctution_mark,github,10000,0.019073770836516662,1.0,True
rps_lines_ending_with_terminal_punctution_mark,stackexchange,10000,0.04466619367491081,1.0,True
rps_lines_ending_with_terminal_punctution_mark,wikipedia,10000,0.12246936712510635,1.0,True
rps_lines_numerical_chars_fraction,arxiv,1419,0.06771842537940649,1.0,True
rps_lines_numerical_chars_fraction,book,171,0.06469512976786473,1.0,True
rps_lines_numerical_chars_fraction,c4,10000,-0.02812554321227392,-1.0,False
rps_lines_numerical_chars_fraction,commoncrawl,9640,-0.11740540894966382,-1.0,False
rps_lines_numerical_chars_fraction,github,10000,-0.041711246590315575,-1.0,False
rps_lines_numerical_chars_fraction,stackexchange,10000,0.11341024513684285,1.0,True
rps_lines_numerical_chars_fraction,wikipedia,10000,0.05931670096513035,1.0,True
rps_doc_mean_word_length,arxiv,1419,-0.20263772725861004,-1.0,True
rps_doc_mean_word_length,book,171,0.31425588595291243,1.0,False
rps_doc_mean_word_length,c4,10000,0.16433034000104588,1.0,False
rps_doc_mean_word_length,commoncrawl,9640,0.1617124523420859,1.0,False
rps_doc_mean_word_length,github,10000,-0.23364691844369018,-1.0,True
rps_doc_mean_word_length,stackexchange,10000,-0.25806290094561296,-1.0,True
rps_doc_mean_word_length,wikipedia,10000,-0.30008237272223426,-1.0,True
