metric,family,global_rho,abs_global_rho,orientation,orientation_source,n_valid
fineweb_edu,model,,,1,semantic_model_field,51230
fluency_en,model,,,1,semantic_model_field,51230
modernbert_cleanliness,model,,,1,semantic_model_field,51230
modernbert_readability,model,,,1,semantic_model_field,51230
modernbert_reasoning,model,,,1,semantic_model_field,51217
modernbert_professionalism,model,,,1,semantic_model_field,51225
dsir_books,dsir,-0.30429421064483236,0.30429421064483236,-1,global_spearman_sign,51230
dsir_wiki,dsir,-0.30511390922448145,0.30511390922448145,-1,global_spearman_sign,51230
dsir_math,dsir,-0.3008876827758244,0.3008876827758244,-1,global_spearman_sign,51230
qurater,model,,,1,semantic_model_field,51230
ad_en,model,,,1,semantic_model_field,51230
rps_doc_word_count,rps,0.38691328159774424,0.38691328159774424,1,global_spearman_sign,51230
rps_doc_num_sentences,rps,0.28261076234585175,0.28261076234585175,1,global_spearman_sign,51230
rps_doc_unigram_entropy,rps,0.3557438063265535,0.3557438063265535,1,global_spearman_sign,51230
rps_doc_frac_unique_words,rps,-0.38329032504751936,0.38329032504751936,-1,global_spearman_sign,51230
rps_doc_frac_no_alph_words,rps,-0.10642649405210115,0.10642649405210115,-1,global_spearman_sign,51230
rps_doc_frac_chars_top_2gram,rps,-0.09843156830332034,0.09843156830332034,-1,global_spearman_sign,51230
rps_doc_frac_chars_top_3gram,rps,0.04059410596946487,0.04059410596946487,1,global_spearman_sign,51230
rps_lines_uppercase_letter_fraction,rps,0.028317750200824107,0.028317750200824107,1,global_spearman_sign,51230
rps_lines_ending_with_terminal_punctution_mark,rps,0.055612210977891124,0.055612210977891124,1,global_spearman_sign,51230
rps_lines_numerical_chars_fraction,rps,0.10524857953248479,0.10524857953248479,1,global_spearman_sign,51230
rps_doc_mean_word_length,rps,-0.19904723081456485,0.19904723081456485,-1,global_spearman_sign,51230
