metric,global_rho,orientation,sign_agreement,loo_min_rho,loo_max_rho,loo_sign_flip,robustness_note
fineweb_edu,,1,1.0,0.6380797886426356,0.6919070152657004,False,retained in primary
fluency_en,,1,1.0,0.5251890004868488,0.7064030904474268,False,retained in primary
modernbert_cleanliness,,1,1.0,0.5922258014621358,0.6686758836642028,False,retained in primary
modernbert_readability,,1,1.0,0.5054276615160743,0.6565282704533267,False,retained in primary
modernbert_reasoning,,1,1.0,0.5908773245093296,0.7139167198889765,False,retained in primary
modernbert_professionalism,,1,0.8571428571428571,0.2669577579886333,0.6093885419962942,False,retained in primary
dsir_books,-0.30429421064483236,-1,0.7142857142857143,-0.35837150445027816,-0.24740287978167766,False,retained in primary
dsir_wiki,-0.30511390922448145,-1,0.7142857142857143,-0.3576288152459716,-0.24848098465679944,False,retained in primary
dsir_math,-0.3008876827758244,-1,0.7142857142857143,-0.3437659205113975,-0.24494531479987275,False,retained in primary
qurater,,1,1.0,0.698332008440578,0.7616434576044839,False,retained in primary
ad_en,,1,1.0,0.4263194341479299,0.5023744997880055,False,retained in primary
rps_doc_word_count,0.38691328159774424,1,0.8571428571428571,0.33734675802274033,0.4323010172970025,False,retained in primary
rps_doc_num_sentences,0.28261076234585175,1,0.7142857142857143,0.22647540041134423,0.3262145195618291,False,retained in primary
rps_doc_unigram_entropy,0.3557438063265535,1,0.8571428571428571,0.28621843506813616,0.4109978088930814,False,retained in primary
rps_doc_frac_unique_words,-0.38329032504751936,-1,0.8571428571428571,-0.4165009334663512,-0.335201881400403,False,retained in primary
rps_doc_frac_no_alph_words,-0.10642649405210115,-1,0.7142857142857143,-0.2367682508353136,0.04418980236673974,True,direction fragile; retained in primary
rps_doc_frac_chars_top_2gram,-0.09843156830332034,-1,0.5714285714285714,-0.18042152459508276,-0.06374123966328067,False,retained in primary
rps_doc_frac_chars_top_3gram,0.04059410596946487,1,0.42857142857142855,-0.01720588556845212,0.06975552919908873,True,direction fragile; retained in primary
rps_lines_uppercase_letter_fraction,0.028317750200824107,1,0.42857142857142855,-0.08320291189743212,0.09493072165371534,True,direction fragile; retained in primary
rps_lines_ending_with_terminal_punctution_mark,0.055612210977891124,1,0.8333333333333334,-0.1472608384462809,0.2057280778064259,True,direction fragile; retained in primary
rps_lines_numerical_chars_fraction,0.10524857953248479,1,0.5714285714285714,0.07119944739371925,0.1361431407603111,False,retained in primary
rps_doc_mean_word_length,-0.19904723081456485,-1,0.5714285714285714,-0.35127200008888154,0.005282383257891363,True,direction fragile; retained in primary
