variant,domain,Q_median,rank,rank_spearman_vs_primary
primary_all22,arxiv,2.6886935343361333,2,1.0
primary_all22,book,2.9183127695669935,1,1.0
primary_all22,c4,-0.30398246745883717,6,1.0
primary_all22,commoncrawl,0.43672408224617987,3,1.0
primary_all22,github,-0.48535057808024096,7,1.0
primary_all22,stackexchange,0.25167008153856363,4,1.0
primary_all22,wikipedia,-0.2944371095837085,5,1.0
equal22,arxiv,1.3569345752791546,2,0.9642857142857145
equal22,book,1.417941499619795,1,0.9642857142857145
equal22,c4,-0.1969861763873965,5,0.9642857142857145
equal22,commoncrawl,0.18125043364250382,3,0.9642857142857145
equal22,github,-0.5853222864630595,7,0.9642857142857145
equal22,stackexchange,0.09423842298562705,4,0.9642857142857145
equal22,wikipedia,-0.23026850809654933,6,0.9642857142857145
argmax_compression,arxiv,2.6205388488087342,2,1.0
argmax_compression,book,3.059083862967978,1,1.0
argmax_compression,c4,-0.30929805310963554,6,1.0
argmax_compression,commoncrawl,0.4926955921408545,3,1.0
argmax_compression,github,-0.4187164646590983,7,1.0
argmax_compression,stackexchange,0.1729275634881235,4,1.0
argmax_compression,wikipedia,-0.2980204692076468,5,1.0
drop_loo_flip,arxiv,3.1790236235793223,2,0.8928571428571429
drop_loo_flip,book,3.3571298428075247,1,0.8928571428571429
drop_loo_flip,c4,-0.44057614246484533,7,0.8928571428571429
drop_loo_flip,commoncrawl,0.5429418296075303,3,0.8928571428571429
drop_loo_flip,github,-0.3449203851037448,5,0.8928571428571429
drop_loo_flip,stackexchange,0.2796947688289657,4,0.8928571428571429
drop_loo_flip,wikipedia,-0.3465322821241428,6,0.8928571428571429
