metric,loo_min_rho,loo_max_rho,loo_sign_consistent,stable_loo,sign_agreement,stable_consensus_075
fineweb_edu,,,True,True,,True
fluency_en,,,True,True,,True
modernbert_cleanliness,,,True,True,,True
modernbert_readability,,,True,True,,True
modernbert_reasoning,,,True,True,,True
modernbert_professionalism,,,True,True,,True
dsir_books,-0.2544592062444913,-0.20255321854142916,True,True,0.7142857142857143,False
dsir_wiki,-0.25022427576771605,-0.19945774863397453,True,True,0.7142857142857143,False
dsir_math,-0.25078837784141367,-0.1977056759162255,True,True,0.7142857142857143,False
qurater,,,True,True,,True
ad_en,,,True,True,,True
rps_doc_word_count,0.2816992038438374,0.3371374861374,True,True,0.8571428571428571,True
rps_doc_num_sentences,0.15967506960131428,0.21955454518645104,True,True,0.7142857142857143,False
rps_doc_unigram_entropy,0.23400160184646046,0.2867489857289159,True,True,0.8571428571428571,True
rps_doc_frac_unique_words,-0.34246710507663836,-0.281121156668972,True,True,0.8571428571428571,True
rps_doc_frac_no_alph_words,-0.20663315550866326,-0.0857623059410081,True,True,0.7142857142857143,False
rps_doc_frac_chars_top_2gram,-0.13417736524760618,-0.0682799506384705,True,True,0.5714285714285714,False
rps_doc_frac_chars_top_3gram,-0.06310029292685715,0.018145183765106224,False,False,0.5714285714285714,False
rps_lines_uppercase_letter_fraction,-0.10536605564783619,-0.04821027865799987,True,True,0.5714285714285714,False
rps_lines_ending_with_terminal_punctution_mark,0.05859674401002069,0.12130052149061561,True,True,0.8333333333333334,True
rps_lines_numerical_chars_fraction,-0.027522561140450222,0.02743447999587642,False,False,0.5714285714285714,False
rps_doc_mean_word_length,-0.16301178540240785,-0.049108765065982295,True,True,0.5714285714285714,False
