sample_id,source_csv_line,source_run_id,group_id,group_index,trajectory_rank,N_params_B,D_tokens_B,val_loss,C_FLOPs_1e21,steps,compute_ratio_C_over_6ND,compute_identity_outlier,token_tail_split
B1:0.070542:64,2,8,N=0.070542B,1,1,0.070542,0.134,4.7388,0.0001,64,1.7631780989018786,1,train
B1:0.070542:128,3,9,N=0.070542B,1,2,0.070542,0.268,4.3541,0.0001,128,0.8815890494509393,1,train
B1:0.070542:256,4,10,N=0.070542B,1,3,0.070542,0.537,4.0384,0.0002,256,0.8799473566214218,1,train
B1:0.070542:512,5,11,N=0.070542B,1,4,0.070542,1.074,3.7776,0.0005,512,1.0999341957767772,1,train
B1:0.070542:1000,6,12,N=0.070542B,1,5,0.070542,2.097,3.5698,0.0009,1000,1.0140165890680333,0,train
B1:0.070542:2000,7,13,N=0.070542B,1,6,0.070542,4.194,3.3922,0.0018,2000,1.0140165890680333,0,train
B1:0.070542:3000,8,14,N=0.070542B,1,7,0.070542,6.291,3.3024,0.0027,3000,1.0140165890680333,0,train
B1:0.070542:4000,9,15,N=0.070542B,1,8,0.070542,8.389,3.2452,0.0036,4000,1.0138957145193304,0,train
B1:0.070542:5000,10,16,N=0.070542B,1,9,0.070542,10.486,3.2041,0.0044,5000,0.9913883340764329,0,train
B1:0.070542:6000,11,17,N=0.070542B,1,10,0.070542,12.583,3.172,0.0053,6000,0.9951594101884401,0,train
B1:0.070542:7000,12,18,N=0.070542B,1,11,0.070542,14.68,3.1466,0.0062,7000,0.9978531093785291,0,train
B1:0.070542:8000,13,19,N=0.070542B,1,12,0.070542,16.777,3.1248,0.0071,8000,0.9998734239108584,0,train
B1:0.070542:9000,14,20,N=0.070542B,1,13,0.070542,18.874,3.1064,0.008,9000,1.001444803445382,0,train
B1:0.070542:10000,15,21,N=0.070542B,1,14,0.070542,20.972,3.0913,0.0089,10000,1.0026541106000286,0,train
B1:0.070542:11000,16,22,N=0.070542B,1,15,0.070542,23.069,3.077,0.0098,11000,1.003686973634725,0,train
B1:0.070542:12000,17,23,N=0.070542B,1,16,0.070542,25.166,3.0646,0.0107,12000,1.0045477065109725,0,train
B1:0.070542:13000,18,24,N=0.070542B,1,17,0.070542,27.263,3.0531,0.0115,13000,0.996609855998164,0,train
B1:0.070542:14000,19,25,N=0.070542B,1,18,0.070542,29.36,3.0432,0.0124,14000,0.9978531093785291,0,train
