scenario,domain,p,reference_p,delta_p,qa_mapping_type,quality_Q_A,target_absolute_changes_json
observed_512__equal_13,arxiv,0.0,0.11302252583269279,-0.11302252583269279,direct,2.7252526038451155,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,freelaw,0.018018018018018018,0.0968248321520278,-0.07880681413400979,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,nih_exporter,0.05405405405405405,0.00588968021709595,0.048164373836958096,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,pubmed_central,0.05905905905905905,0.11375419105058357,-0.054695131991524516,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,wikipedia_en,0.0,0.07507775607983627,-0.07507775607983627,near_direct,-0.2944371095837085,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,dm_mathematics,0.22522522522522523,0.0254628540970504,0.19976237112817483,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,github,0.15915915915915915,0.11070066007050916,0.04845849908864999,direct,-0.505484640415014,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,philpapers,0.008008008008008008,0.005487697351193036,0.0025203106568149718,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,stackexchange,0.0,0.09943242344413017,-0.09943242344413017,direct,0.2516700815385636,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
observed_512__equal_13,enron_emails,0.0,0.002211033043406226,-0.002211033043406226,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
