p_policy,N_params_B,D_tokens_B,Q_score,loss,factor,dL_dN,dL_dD,dL_dQ_B,improvement_elasticity_N,improvement_elasticity_D,improvement_elasticity_Q_B
Q1_reference,0.1,30.0,0.3,3.3102423593018346,1.0,-3.0660729344999518,-0.00491365216564439,-0.5261618261998692,0.09262382030379852,0.04453135117285549,0.047684891535631456
Q1_reference,0.1,30.0,0.5,3.205009994061861,1.0,-2.947088806161744,-0.004808284179694321,-0.5261618261998692,0.09195256213309834,0.0450071998708549,0.08208427230721976
Q1_reference,0.1,30.0,0.7,3.099777628821887,1.0,-2.828104677823536,-0.004702916193744254,-0.5261618261998692,0.09123572773503744,0.04551535713416638,0.11881925816720308
Q1_reference,0.1,100.0,0.3,3.1607197561125773,1.0,-3.0660729344999518,-0.0010377109297577357,-0.5071327977702973,0.09700552947063447,0.0328314754179293,0.04813455512367491
Q1_reference,0.1,100.0,0.5,3.0592931965585177,1.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,0.09633234269526715,0.032886698636943504,0.08288398090460647
Q1_reference,0.1,100.0,0.7,2.957866637004458,1.0,-2.828104677823536,-0.0009744901381876951,-0.5071327977702973,0.09561298817338375,0.032945709113328975,0.12001655314612923
Q1_reference,0.1,300.0,0.3,3.0627101742163796,1.0,-3.0660729344999518,-0.0002542121291375246,-0.48976901314075433,0.10010979688224769,0.024900703756851588,0.04797408033550539
Q1_reference,0.1,300.0,0.5,2.9647563715882286,1.0,-2.947088806161744,-0.0002436753305425178,-0.48976901314075433,0.09940408036235976,0.024657202818858963,0.08259852611066043
Q1_reference,0.1,300.0,0.7,2.866802568960078,1.0,-2.828104677823536,-0.00023313853194751103,-0.48976901314075433,0.09865013755898164,0.024397061849161225,0.11958908956987971
Q1_reference,1.0,30.0,0.3,2.7909487799977675,1.0,-0.16296047077952586,-0.00491365216564439,-0.3891762860926453,0.05838891489067607,0.05281700833271817,0.041832686670762544
Q1_reference,1.0,30.0,0.5,2.7131135227792385,1.0,-0.1510620579457051,-0.004808284179694321,-0.3891762860926453,0.05567848771435163,0.05316715433383909,0.07172134207159601
Q1_reference,1.0,30.0,0.7,2.6352782655607094,1.0,-0.1391636451118843,-0.004702916193744254,-0.3891762860926453,0.05280795084547718,0.053537984074068304,0.1033755728285066
Q1_reference,1.0,100.0,0.3,2.64142617680851,1.0,-0.16296047077952586,-0.0010377109297577357,-0.3701472576630735,0.061694122747137314,0.03928600915932259,0.04203947786763082
Q1_reference,1.0,100.0,0.5,2.5673967252758954,1.0,-0.1510620579457051,-0.0010061005339727154,-0.3701472576630735,0.05883861128999134,0.039187575650763466,0.07208610457803265
Q1_reference,1.0,100.0,0.7,2.4933672737432806,1.0,-0.1391636451118843,-0.0009744901381876951,-0.3701472576630735,0.05581353640811952,0.03908329705172947,0.1039169331741333
Q1_reference,1.0,300.0,0.3,2.5434165949123124,1.0,-0.16296047077952586,-0.0002542121291375246,-0.3527834730335305,0.06407148207867383,0.029984721690426288,0.04161136721438587
Q1_reference,1.0,300.0,0.5,2.472859900305606,1.0,-0.1510620579457051,-0.0002436753305425178,-0.3527834730335305,0.06108799690877604,0.029561965541889786,0.07133106752022872
Q1_reference,1.0,300.0,0.7,2.4023032056989004,1.0,-0.1391636451118843,-0.00023313853194751103,-0.3527834730335305,0.05792925921330464,0.029114376327822974,0.1027965289883659
Q1_reference,10.0,30.0,0.3,2.5011990659016763,1.0,-0.009719026280305434,-0.00491365216564439,-0.25219074598542146,0.03885746805523353,0.05893555894008416,0.030248381597069
Q1_reference,10.0,30.0,0.5,2.450760916704592,1.0,-0.008529184996923355,-0.004808284179694321,-0.25219074598542146,0.034802191183920535,0.058858668916914575,0.05145151945799122
Q1_reference,10.0,30.0,0.7,2.400322767507508,1.0,-0.007339343713541276,-0.004702916193744254,-0.25219074598542146,0.030576486682924075,0.05877854750293965,0.0735457433389707
Q1_reference,10.0,100.0,0.3,2.3516764627124185,1.0,-0.009719026280305434,-0.0010377109297577357,-0.2331617175558496,0.04132807567030514,0.044126432619937955,0.029744106545199003
Q1_reference,10.0,100.0,0.5,2.3050441192012485,1.0,-0.008529184996923355,-0.0010061005339727154,-0.2331617175558496,0.037002263539662385,0.04364777774064267,0.050576411013912734
