dataset,model,scope,target,ridge_rmse,candidate_rmse,candidate_cv_rmse,role
Q1,ridge_vs_second_order_candidate,test_1m,arxiv,0.579151724741212,0.548122893875627,0.6834471636768689,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,arxiv,1.8261852747263805,1.8034751236191848,0.6834471636768689,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,arxiv,3.2078542621884507,2.8048014529832974,0.6834471636768689,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,freelaw,0.48107885457138616,0.42270796676748223,0.4227207714690313,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,freelaw,1.444969088493251,1.4269563444787394,0.4227207714690313,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,freelaw,3.368022043770035,3.1218722194687176,0.4227207714690313,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,pubmed_central,0.5294039174312016,0.4945105030573718,0.5476240682050719,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,pubmed_central,1.7552288333094106,1.7376672101938413,0.5476240682050719,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,pubmed_central,3.388361886131875,3.0232192630351564,0.5476240682050719,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,wikipedia_en,0.2942936835422136,0.28955340664868556,0.2933173779045809,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,wikipedia_en,1.3704447211707227,1.3648697003915073,0.2933173779045809,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1B,wikipedia_en,3.30326544733148,3.219264336548994,0.2933173779045809,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_1m,dm_mathematics,1.158720460894497,1.1597608099302148,1.2184707390759038,Q1_derived_diagnostic_metrics_only
Q1,ridge_vs_second_order_candidate,test_60m,dm_mathematics,1.5581854773788024,1.545620950720172,1.2184707390759038,Q1_derived_diagnostic_metrics_only
