bridge_lambda,eta,weights,p_policy,N_params_B,D_tokens_B,Q_score,status,loss,factor
0,-0.5,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,equal_13,QA_direct,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,equal_13,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,equal_13,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
0,-0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0592931965585177,1.0
0,-0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,-0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0,0,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,0,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,0,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,0,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
0,0,equal_13,QA_direct,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0,equal_13,QA_direct,1,100,0.5,valid,2.5673967252758954,1.0
0,0,equal_13,QA_direct,10,100,0.5,valid,2.3050441192012485,1.0
0,0,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0,0,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0,0,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0592931965585177,1.0
0,0,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.5673967252758954,1.0
0,0,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3050441192012485,1.0
