N_B,D_B,Q_B,p_variant,weights,bridge_lambda,eta,loss,baseline_loss,factor,relative_A_effect,gradient_N,gradient_D,gradient_Q_B,status
0.1,100,0.5,reference,arxiv_only,0,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0.25,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0.25,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0.25,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0.5,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0.5,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,0.5,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,1,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,1,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,arxiv_only,1,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0.25,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0.25,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0.25,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0.5,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0.5,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,0.5,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,1,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
