policy,support,Loss_exp,Loss_linear,absolute_difference,relative_difference_over_exp,p_choice_difference,ranking_difference,interpretation
equal_13,observed_512,2.2883410612300255,2.271978423816966,0.016362637413059655,0.007150436484439271,0,0,strict_monotonicity_identity_not_empirical_validation
equal_13,continuous_hull,2.2882343682865667,2.271858717229403,0.016375651057163765,0.007156457085043206,0,0,strict_monotonicity_identity_not_empirical_validation
quality_direct,observed_512,2.4374921509200917,2.434090466967765,0.0034016839523265396,0.0013955671410234038,0,0,strict_monotonicity_identity_not_empirical_validation
quality_direct,continuous_hull,2.3161365085872005,2.3029755592293704,0.013160949357830187,0.005682285698202701,0,0,strict_monotonicity_identity_not_empirical_validation
quality_direct_and_near,observed_512,2.4001253759288343,2.3944274538312067,0.00569792209762765,0.0023740101891229696,0,0,strict_monotonicity_identity_not_empirical_validation
quality_direct_and_near,continuous_hull,2.330033586394699,2.3183341955804244,0.011699390814274402,0.0050211253960407804,0,0,strict_monotonicity_identity_not_empirical_validation
minimax_13,observed_512,2.437642088408193,2.434248390420606,0.003393697987587263,0.001392205198509427,0,0,strict_monotonicity_identity_not_empirical_validation
minimax_13,continuous_hull,2.487281475803581,2.486004855247837,0.001276620555743957,0.0005132593830505297,0,0,strict_monotonicity_identity_not_empirical_validation
arxiv_only,observed_512,1.5818284122157968,1.3239781541692355,0.25785025804656136,0.1630077295712304,0,0,strict_monotonicity_identity_not_empirical_validation
pile_cc_only,observed_512,2.2858436280048746,2.269174906706664,0.01666872129821062,0.007292152925070986,0,0,strict_monotonicity_identity_not_empirical_validation
