policy,support,N_params_B,D_tokens_B,Q_score,lambda,eta,bridge_model,status,Loss,difference_from_baseline
equal_13,observed_512,0.1,100.0,0.5,0,0.0,exp_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.0,linear_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.1,exp_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.1,linear_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.2,exp_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.2,linear_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.4,exp_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0,0.4,linear_bridge,valid,3.0592931965585177,0.33252090963265823
equal_13,observed_512,0.1,100.0,0.5,0.5,0.0,exp_bridge,valid,2.8882513578213014,0.1614790708954419
equal_13,observed_512,0.1,100.0,0.5,0.5,0.0,linear_bridge,valid,2.8832839357195925,0.15651164879373303
equal_13,observed_512,0.1,100.0,0.5,0.5,0.1,exp_bridge,valid,2.845544922212439,0.11877263528657966
equal_13,observed_512,0.1,100.0,0.5,0.5,0.1,linear_bridge,valid,2.8377106653772866,0.11093837845142707
equal_13,observed_512,0.1,100.0,0.5,0.5,0.2,exp_bridge,valid,2.7926774470319953,0.06590516010613579
equal_13,observed_512,0.1,100.0,0.5,0.5,0.2,linear_bridge,valid,2.7803373172447925,0.053565030318933005
equal_13,observed_512,0.1,100.0,0.5,0.5,0.4,exp_bridge,valid,2.6476392969506257,-0.07913298997523377
equal_13,observed_512,0.1,100.0,0.5,0.5,0.4,linear_bridge,valid,2.6171779224371905,-0.109594364488669
equal_13,observed_512,0.1,100.0,0.5,0.75,0.0,exp_bridge,valid,2.8063506124828934,0.07957832555703392
equal_13,observed_512,0.1,100.0,0.5,0.75,0.0,linear_bridge,valid,2.7952793053001295,0.06850701837426998
equal_13,observed_512,0.1,100.0,0.5,0.75,0.1,exp_bridge,valid,2.7443381236622355,0.017565836736376017
equal_13,observed_512,0.1,100.0,0.5,0.75,0.1,linear_bridge,valid,2.726919399786671,0.00014711286081148245
equal_13,observed_512,0.1,100.0,0.5,0.75,0.2,exp_bridge,valid,2.6682137399012196,-0.05855854702463992
equal_13,observed_512,0.1,100.0,0.5,0.75,0.2,linear_bridge,valid,2.6408593775879297,-0.08591290933792983
equal_13,observed_512,0.1,100.0,0.5,0.75,0.4,exp_bridge,valid,2.463075232072869,-0.26369705485299066
equal_13,observed_512,0.1,100.0,0.5,0.75,0.4,linear_bridge,valid,2.396120285376527,-0.3306520015493324
equal_13,observed_512,0.1,100.0,0.5,1.0,0.0,exp_bridge,valid,2.7267722869258595,0.0
equal_13,observed_512,0.1,100.0,0.5,1.0,0.0,linear_bridge,valid,2.707274674880667,-0.019497612045192625
equal_13,observed_512,0.1,100.0,0.5,1.0,0.1,exp_bridge,valid,2.6467309225012086,-0.08004136442465093
equal_13,observed_512,0.1,100.0,0.5,1.0,0.1,linear_bridge,valid,2.6161281341960554,-0.1106441527298041
equal_13,observed_512,0.1,100.0,0.5,1.0,0.2,exp_bridge,valid,2.5492971160575597,-0.17747517086829978
equal_13,observed_512,0.1,100.0,0.5,1.0,0.2,linear_bridge,valid,2.501381437931067,-0.22539084899479267
equal_13,observed_512,0.1,100.0,0.5,1.0,0.4,exp_bridge,valid,2.291376928057414,-0.4353953588684454
equal_13,observed_512,0.1,100.0,0.5,1.0,0.4,linear_bridge,valid,2.175062648315863,-0.5517096386099967
equal_13,observed_512,0.1,100.0,0.5,1.25,0.0,exp_bridge,valid,2.6494505254169147,-0.07732176150894476
equal_13,observed_512,0.1,100.0,0.5,1.25,0.0,linear_bridge,valid,2.6192700444612043,-0.10750224246465523
equal_13,observed_512,0.1,100.0,0.5,1.25,0.1,exp_bridge,valid,2.552595292731602,-0.1741769941942577
equal_13,observed_512,0.1,100.0,0.5,1.25,0.1,linear_bridge,valid,2.50533686860544,-0.22143541832041969
equal_13,observed_512,0.1,100.0,0.5,1.25,0.2,exp_bridge,valid,2.435680353771054,-0.29109193315480564
equal_13,observed_512,0.1,100.0,0.5,1.25,0.2,linear_bridge,valid,2.3619034982742044,-0.36486878865165506
