policy,support,toward_observed_index,path_support,direction_feasible,directional_second_derivative,causal_interpretation
equal_13,observed_512,1,convex_hull,True,0.20494277482252882,False
equal_13,observed_512,2,convex_hull,True,0.027845258547268423,False
equal_13,continuous_hull,1,convex_hull,True,0.20888700532334972,False
equal_13,continuous_hull,2,convex_hull,True,0.031218383002635575,False
quality_direct,observed_512,3,quality_direct,True,-0.05918677933318328,False
quality_direct,observed_512,5,quality_direct,True,0.02816820009823664,False
quality_direct,continuous_hull,3,quality_direct,True,0.1710712048495279,False
quality_direct,continuous_hull,5,quality_direct,True,0.03572581573599613,False
quality_direct_and_near,observed_512,1,quality_direct_and_near,True,0.1716887284076157,False
quality_direct_and_near,observed_512,3,quality_direct_and_near,True,-0.21351355211651638,False
quality_direct_and_near,continuous_hull,1,quality_direct_and_near,True,0.284827199422777,False
quality_direct_and_near,continuous_hull,3,quality_direct_and_near,True,0.1748360621672335,False
minimax_13,observed_512,1,convex_hull,True,0.5202742539070194,False
minimax_13,observed_512,2,convex_hull,True,0.278272614007674,False
minimax_13,continuous_hull,1,convex_hull,True,0.25050901041493073,False
minimax_13,continuous_hull,2,convex_hull,True,0.1323473200545584,False
arxiv_only,observed_512,1,convex_hull,True,2.064270628091256,False
arxiv_only,observed_512,2,convex_hull,True,1.4296060990314008,False
pile_cc_only,observed_512,1,convex_hull,True,-0.010299797707831416,False
pile_cc_only,observed_512,2,convex_hull,True,0.17896474219428912,False
