policy,support,toward_observed_index,path_support,step,direction_feasible,directional_Loss_derivative,finite_forward_difference,difference_error
equal_13,observed_512,1,convex_hull,0.0001,True,0.3443466124799756,0.344356859747208,1.024726723236613e-05
equal_13,observed_512,2,convex_hull,0.0001,True,0.22038637590538823,0.2203877681727917,1.3922674034771987e-06
equal_13,continuous_hull,1,convex_hull,0.0001,True,0.34213032458476494,0.34214076906735613,1.0444482591187576e-05
equal_13,continuous_hull,2,convex_hull,0.0001,True,0.21862787906014544,0.2186294399875166,1.560927371163645e-06
quality_direct,observed_512,3,quality_direct,0.0001,True,0.22211001410458428,0.2221070547347992,-2.9593697850882617e-06
quality_direct,observed_512,5,quality_direct,0.0001,True,0.1463099485701268,0.14631135698994768,1.4084198208808019e-06
quality_direct,continuous_hull,3,quality_direct,0.0001,True,0.2161495572021713,0.21615811082842384,8.5536262525443e-06
quality_direct,continuous_hull,5,quality_direct,0.0001,True,0.2636637928756237,0.26366557916990274,1.7862942790491942e-06
quality_direct_and_near,observed_512,1,quality_direct_and_near,0.0001,True,0.2546659218532552,0.25467450637250977,8.58451925456194e-06
quality_direct_and_near,observed_512,3,quality_direct_and_near,0.0001,True,0.34877818142463785,0.3487675055691142,-1.0675855523667455e-05
quality_direct_and_near,continuous_hull,1,quality_direct_and_near,0.0001,True,0.2584258171163694,0.2584400586247426,1.4241508373202816e-05
quality_direct_and_near,continuous_hull,3,quality_direct_and_near,0.0001,True,0.20062989206885828,0.20063863394259585,8.741873737561079e-06
minimax_13,observed_512,1,convex_hull,0.0001,True,0.0344082730471897,0.03443428679528182,2.6013748092121314e-05
minimax_13,observed_512,2,convex_hull,0.0001,True,-0.05430888682506354,-0.05429497322850807,1.3913596555469032e-05
minimax_13,continuous_hull,1,convex_hull,0.0001,True,0.1282037766725828,0.12821630218429192,1.2525511709132742e-05
minimax_13,continuous_hull,2,convex_hull,0.0001,True,-0.030194281807512626,-0.03018766445261889,6.617354893736355e-06
arxiv_only,observed_512,1,convex_hull,0.0001,True,0.15804751651980958,0.15815073107994237,0.00010321456013279162
arxiv_only,observed_512,2,convex_hull,0.0001,True,0.38183374290805155,0.3819052248665855,7.148195853395878e-05
pile_cc_only,observed_512,1,convex_hull,0.0001,True,0.06506772587085631,0.0650672108726269,-5.14998229408925e-07
pile_cc_only,observed_512,2,convex_hull,0.0001,True,0.04565786861720415,0.04566681687023788,8.948253033727593e-06
