policy,support,N_gradient_per_B,D_gradient_per_B,Q_B_gradient,N_elasticity_signed,D_elasticity_signed,Q_B_elasticity_signed
equal_13,observed_512,-0.13464281020063976,-0.0008967453845169998,-0.32991518610006765,-0.05883861128999135,-0.039187575650763466,-0.07208610457803265
equal_13,continuous_hull,-0.1346365325360122,-0.000896703574139068,-0.32989980394270785,-0.05883861128999135,-0.03918757565076347,-0.07208610457803265
quality_direct,observed_512,-0.1434186531903922,-0.0009551940806232326,-0.35141862819871894,-0.05883861128999135,-0.039187575650763466,-0.07208610457803265
quality_direct,continuous_hull,-0.13627825572331997,-0.0009076377464775608,-0.3339225171500327,-0.058838611289991335,-0.039187575650763466,-0.07208610457803265
quality_direct_and_near,observed_512,-0.14122004404152103,-0.0009405509474052831,-0.34603137769919173,-0.05883861128999134,-0.03918757565076347,-0.07208610457803265
quality_direct_and_near,continuous_hull,-0.13709594048250215,-0.0009130836743566198,-0.33592608955835346,-0.05883861128999134,-0.039187575650763466,-0.07208610457803265
minimax_13,observed_512,-0.14342747530397237,-0.0009552528374898112,-0.35144024501761384,-0.058838611289991335,-0.039187575650763466,-0.07208610457803265
minimax_13,continuous_hull,-0.1463481879236029,-0.0009747053099779543,-0.35859686515956063,-0.05883861128999134,-0.039187575650763466,-0.07208610457803265
arxiv_only,observed_512,-0.09307258707382947,-0.000619880205702336,-0.22805569669498255,-0.05883861128999134,-0.03918757565076347,-0.07208610457803265
arxiv_only,continuous_hull,-0.0905353844978288,-0.0006029819792302149,-0.2218387909516497,-0.05883861128999134,-0.039187575650763466,-0.07208610457803265
pile_cc_only,observed_512,-0.13449586469788238,-0.0008957667009825665,-0.32955512563477785,-0.05883861128999134,-0.039187575650763466,-0.07208610457803263
pile_cc_only,continuous_hull,-0.13162463022108928,-0.0008766437618438669,-0.32251974175251524,-0.05883861128999135,-0.039187575650763466,-0.07208610457803266
