policy,support,status,objective_mode,objective_relative,lower_bound_relative,gap_relative,baseline_loss,B7_loss,r_w,bridge_factor,observed_index
equal_13,observed_512,exact_observed_512,weighted,-0.11506531053442215,,,2.2883410612300255,2.5673967252758954,-0.11506531053442215,0.8913079302086115,136
equal_13,continuous_hull,numerically_bounded_feasible,weighted,-0.11511193620251012,-0.11607407179637694,0.0009621355938668197,2.2882343682865667,2.5673967252758954,-0.11511193620251012,0.8912663733497092,
quality_direct,observed_512,exact_observed_512,weighted,-0.05192273441643689,,,2.4374921509200917,2.5673967252758954,-0.05192273441643689,0.9494022201255851,301
quality_direct,continuous_hull,numerically_bounded_feasible,weighted,-0.10299193866039925,-0.10343290819650305,0.00044096953610379963,2.3161365085872005,2.5673967252758954,-0.10299193866039925,0.9021342458627253,
quality_direct_and_near,observed_512,exact_observed_512,weighted,-0.06737146220598264,,,2.4001253759288343,2.5673967252758954,-0.06737146220598264,0.9348478761773423,172
quality_direct_and_near,continuous_hull,numerically_bounded_feasible,weighted,-0.09700975593037972,-0.09776015384553347,0.0007503979151537443,2.330033586394699,2.5673967252758954,-0.09700975593037972,0.9075471521232508,
minimax_13,observed_512,exact_observed_512,minimax,0.03992746837819161,,,2.437642088408193,2.5673967252758954,-0.05186122329457333,0.9494606207173694,477
minimax_13,continuous_hull,numerically_bounded_feasible,minimax,-0.019784221015100245,-0.020779779515382988,0.0009955585002827429,2.487281475803581,2.5673967252758954,-0.03170210089728607,0.9687951422997529,
arxiv_only,observed_512,exact_observed_512,weighted,-0.48431103727182667,,,1.5818284122157968,2.5673967252758954,-0.48431103727182667,0.6161215353446444,3
arxiv_only,continuous_hull,numerically_bounded_feasible,weighted,-0.5119499689428373,-0.5128574413548651,0.000907472412027821,1.5387070243996257,2.5673967252758954,-0.5119499689428373,0.5993257719974207,
pile_cc_only,observed_512,exact_observed_512,weighted,-0.11615727933016817,,,2.2858436280048746,2.5673967252758954,-0.11615727933016817,0.8903351809639919,187
pile_cc_only,continuous_hull,numerically_bounded_feasible,weighted,-0.13773657104501102,-0.13844509327610993,0.000708522231098907,2.2370451534344604,2.5673967252758954,-0.13773657104501102,0.8713281945913774,
