policy,support,mapping,covered_mass,mean_Q_A_on_mapped,eligible,unknown_Q_A_count
equal_13,observed_512,quality_direct,0.15915915915915915,-0.48535057808024085,False,11
equal_13,observed_512,quality_direct_and_near,0.4314314314314314,0.5859704103908858,False,11
equal_13,continuous_hull,quality_direct,0.15953724430493196,-0.4351361128211195,False,11
equal_13,continuous_hull,quality_direct_and_near,0.42627942251475,0.5954133950589973,False,11
quality_direct,observed_512,quality_direct,0.3446553446553447,1.113053912875469,True,11
quality_direct,observed_512,quality_direct_and_near,0.7272727272727273,1.9857968642602715,True,11
quality_direct,continuous_hull,quality_direct,0.3231556093473321,1.1713588048710637,True,11
quality_direct,continuous_hull,quality_direct_and_near,0.5275878952223201,1.204414895230364,False,11
quality_direct_and_near,observed_512,quality_direct,0.05694305694305693,0.9624590170570527,False,11
quality_direct_and_near,observed_512,quality_direct_and_near,0.5814185814185814,1.6754490814383751,True,11
quality_direct_and_near,continuous_hull,quality_direct,0.3146434995754553,1.321512078200652,False,11
quality_direct_and_near,continuous_hull,quality_direct_and_near,0.5646359074665894,1.1645833097793157,True,11
minimax_13,observed_512,quality_direct,0.5675675675675675,1.5019257180534678,True,11
minimax_13,observed_512,quality_direct_and_near,0.6306306306306307,1.4037409234988858,True,11
minimax_13,continuous_hull,quality_direct,0.24114723581804381,1.1793907141972584,False,11
minimax_13,continuous_hull,quality_direct_and_near,0.5465986936084082,0.7521544110638756,False,11
arxiv_only,observed_512,quality_direct,0.679,2.6886935343361333,True,11
arxiv_only,observed_512,quality_direct_and_near,0.9480000000000001,2.049685324829596,True,11
arxiv_only,continuous_hull,quality_direct,0.9313047616075887,1.5815857253743786,True,11
arxiv_only,continuous_hull,quality_direct_and_near,0.9416344233649526,1.5643384247938648,True,11
pile_cc_only,observed_512,quality_direct,0.10489510489510491,2.023655720306036,False,11
pile_cc_only,observed_512,quality_direct_and_near,0.9490509490509491,0.6121217896106902,False,11
pile_cc_only,continuous_hull,quality_direct,0.0014180947580645167,2.6886935343361333,False,11
pile_cc_only,continuous_hull,quality_direct_and_near,0.7070667842741938,0.4417549739135696,False,11
