domain_i,domain_j,transfer_direction,dLoss_depsilon,favorable_direction,feasible_epsilon_max,reverse_feasible_epsilon_max,hull_equation_residual_max,evaluation_point,quality_bridge,claim_scope
arxiv,freelaw,freelaw-> arxiv,-0.4441037436837156,freelaw-> arxiv,0.09682483215202774,0.11302252583269265,3.440303597557204e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,nih_exporter,nih_exporter-> arxiv,0.036753263120234914,arxiv-> nih_exporter,0.005889680217095942,0.03997091767627008,1.5959455978986625e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,pubmed_central,pubmed_central-> arxiv,-0.3327171393121854,pubmed_central-> arxiv,0.11375419105058358,0.11302252583269265,3.967659534254153e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,wikipedia_en,wikipedia_en-> arxiv,-0.7691841379256849,wikipedia_en-> arxiv,0.07507775607983624,0.1130225258326927,6.938893903907228e-16,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,dm_mathematics,dm_mathematics-> arxiv,0.22369749864738864,arxiv-> dm_mathematics,0.02546285409705039,0.113022525832693,1.9567680809018384e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,github,github-> arxiv,-0.528869021217457,github-> arxiv,0.11070066007050916,0.1130225258326927,2.7755575615628914e-17,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,philpapers,philpapers-> arxiv,0.773015605876759,arxiv-> philpapers,0.005487697351193028,0.04011464338182628,1.6930901125533637e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,stackexchange,stackexchange-> arxiv,-0.6003584593633953,stackexchange-> arxiv,0.09943242344413002,0.1130225258326927,1.0680345496894006e-13,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,enron_emails,enron_emails-> arxiv,0.799763056198262,arxiv-> enron_emails,0.0022110330434062255,0.01929640195860796,2.373101715136272e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,gutenberg_pg_19,gutenberg_pg_19-> arxiv,-0.0682068753734344,gutenberg_pg_19-> arxiv,0.04691494424753537,0.1130225258326927,6.564193633096238e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,pile_cc,pile_cc-> arxiv,-0.4006299731068348,pile_cc-> arxiv,0.11948759779188581,0.1130225258326927,5.19306819768417e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,ubuntu_irc,ubuntu_irc-> arxiv,0.35268648293422844,arxiv-> ubuntu_irc,0.01959999828400589,0.11293690451788457,3.941291737419306e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,europarl,europarl-> arxiv,-0.055183471157260855,europarl-> arxiv,0.01273706475403153,0.08478632247963425,1.1102230246251565e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,hackernews,hackernews-> arxiv,0.3662836226827819,arxiv-> hackernews,0.011650822378108681,0.08340059466995121,9.500733533229777e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,pubmed_abstracts,pubmed_abstracts-> arxiv,-0.5084585331930476,pubmed_abstracts-> arxiv,0.06618116611257162,0.1130225258326927,3.880229471064922e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
arxiv,uspto_backgrounds,uspto_backgrounds-> arxiv,-0.5992303389884344,uspto_backgrounds-> arxiv,0.07556475309333681,0.1130225258326927,7.897710263549129e-13,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,nih_exporter,nih_exporter-> freelaw,0.4808570068039505,freelaw-> nih_exporter,0.005889680217095942,0.04140612706171455,3.2890357104520263e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,pubmed_central,pubmed_central-> freelaw,0.1113866043715302,freelaw-> pubmed_central,0.1137541910505836,0.09682483215202778,1.0796918914479647e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,wikipedia_en,wikipedia_en-> freelaw,-0.3250803942419693,wikipedia_en-> freelaw,0.07507775607983626,0.09682483215202778,9.936496070395151e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,dm_mathematics,dm_mathematics-> freelaw,0.6678012423311042,freelaw-> dm_mathematics,0.02546285409705039,0.09682483215202697,1.4335754805472334e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,github,github-> freelaw,-0.08476527753374147,github-> freelaw,0.11070066007050919,0.09682483215202782,3.0406233086921475e-14,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,philpapers,philpapers-> freelaw,1.2171193495604746,freelaw-> philpapers,0.005487697351193028,0.040163037971553246,3.12944115066216e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,stackexchange,stackexchange-> freelaw,-0.1562547156796797,stackexchange-> freelaw,0.09943242344413022,0.09682483215202778,4.6351811278100286e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,enron_emails,enron_emails-> freelaw,1.2438667998819777,freelaw-> enron_emails,0.0022110330434062255,0.019469342736369688,8.743006318923108e-16,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,gutenberg_pg_19,gutenberg_pg_19-> freelaw,0.3758968683102812,freelaw-> gutenberg_pg_19,0.04691494424753537,0.09682483215202778,1.1102230246251565e-16,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,pile_cc,pile_cc-> freelaw,0.04347377057688079,freelaw-> pile_cc,0.11948759779188563,0.09682483215202779,8.326672684688674e-15,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
freelaw,ubuntu_irc,ubuntu_irc-> freelaw,0.7967902266179441,freelaw-> ubuntu_irc,0.01959999828400589,0.09682483215202776,5.551115123125783e-16,mean_of_512_A4_recipes,Q1_QA_minmax_proxy,local_model_direction_not_causal
