budget_FLOPs,context_tokens,quality_family,Q0,minimum_supported_cost_FLOPs,scientific_status,ready_for_Q3,N_params_B,D_tokens_B,Q_score,conditional_loss,cost_FLOPs,budget_utilization,interval_95_lower,interval_95_upper,kkt_relative_violation,kkt_check_pass,active_set,budget_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,Q_lower_active,Q_upper_active,support_saturated,regime,converged_starts,failure,status
1e+20,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.9508120123308846,10.868943213318488,0.9668714855448834,2.7018200306354676,1.0000000000005662e+20,1.0000000000005662,2.607021730235459,2.8078590874636715,1.3353628057866516e-07,True,budget,True,False,False,False,False,False,False,False,budget_limited_interior,20,,converged_feasible
1e+22,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,6.271047641436158,227.1264396334464,1.0,2.149669772043173,1.0000000000022746e+22,1.0000000000022746,2.058229753158215,2.253806266164084,9.892963290045811e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.04833380673941728,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.8972224339559655,10.000000000000002,0.9773234074201579,2.7208319995583086,1.0000000000060272e+20,1.0000000000060272,2.6242834846266865,2.8275378406301925,3.341425946658765e-11,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,6.38420974057638,219.26107339387926,0.9999999999999999,2.1510359090443756,1.000000000000531e+22,1.000000000000531,2.0595798931050213,2.255204651834138,1.115892315615364e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.884624719999998e+22,0.048846247199999984,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,2048,logarithmic,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.7655545580090797,16.342085336850936,1.0,2.643882678860063,1.0000000000013415e+20,1.0000000000013416,2.5542302542021593,2.7528652173536443,9.775779238181898e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,2048,logarithmic,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,5.898006397461152,256.3042291847015,1.0,2.145252371433399,1.0000000000008984e+22,1.0000000000008984,2.0536546945043495,2.2492696655361084,2.8794444053150963e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,18,,converged_feasible
1e+24,2048,logarithmic,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.6761110164284365e+22,0.046761110164284365,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,4096,exponential,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,0.9196204316672153,10.568327420019418,0.9710990518018946,2.7096224081022653,1.0000000000004866e+20,1.0000000000004865,2.61425656806263,2.8159101197432235,2.422898365783218e-07,True,budget,True,False,False,False,False,False,False,False,budget_limited_interior,20,,converged_feasible
1e+22,4096,exponential,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,6.069439846764118,221.13054118887578,0.9999999999999998,2.1537232315141557,1.0000000000001724e+22,1.0000000000001723,2.0625019253044297,2.2580028605332774,1.729602770320869e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+24,4096,exponential,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,5.127555393941727e+22,0.051275553939417275,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,4096,power,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,0.8483610899631288,10.000000000000002,0.9754806560527739,2.7287900993076795,1.0000000000034203e+20,1.0000000000034204,2.6321801834238,2.8356627604303477,1.8615983152566243e-11,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,4096,power,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,6.1763422268167,213.65141567824926,1.0,2.155065139828145,1.000000000000749e+22,1.0000000000007492,2.0638277442846764,2.2593753023847087,1.5657010869413008e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,4096,power,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,5.178799439999998e+22,0.05178799439999999,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,4096,logarithmic,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,0.7388989937378653,15.99751302604436,1.0,2.6521602738727705,1.0000000000017672e+20,1.0000000000017673,2.5621349242087437,2.760479742689048,9.175908084071379e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,4096,logarithmic,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,5.717627041437286,248.74437614806456,1.0,2.149389913430303,1.0000000000005853e+22,1.0000000000005853,2.0578017670644893,2.253556735623905,3.5743371901125044e-12,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+24,4096,logarithmic,0.5,4.773440000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.9702857364284365e+22,0.04970285736428436,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,8192,exponential,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,0.8651639315734904,10.03981048477202,0.9788146323247263,2.7240987588807277,1.000000000000461e+20,1.000000000000461,2.6275698214687484,2.8309176231275073,7.610136850163426e-08,True,budget,True,False,False,False,False,False,False,False,budget_limited_interior,20,,converged_feasible
1e+22,8192,exponential,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,5.7178027469002535,210.48954850510466,1.0,2.1612640378655015,1.0000000000009378e+22,1.000000000000938,2.0704408180465013,2.2658044944587745,1.0130655289517138e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,8192,exponential,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,5.715904833941727e+22,0.057159048339417276,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,8192,power,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,0.7656397443234341,10.000000000000002,0.9720627896273241,2.7437757884960616,1.0000000000099806e+20,1.0000000000099807,2.6470646119927523,2.8509617646017245,6.0704756219343375e-12,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,8192,power,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,5.81409799640655,203.6746734647904,0.9999999999999998,2.1625623830782934,1.0000000000004173e+22,1.0000000000004174,2.07172293347611,2.267130332160496,6.616200504260499e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,8192,power,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,5.767148879999998e+22,0.05767148879999998,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,8192,logarithmic,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,0.6926349736952535,15.377767333112422,0.9999999999999972,2.6675796948409305,1.0000000000007327e+20,1.0000000000007327,2.5768568673024457,2.7756418902840503,6.688807550668103e-12,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,8192,logarithmic,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,5.401851300040892,235.43941103440707,1.0,2.1570812601160014,1.0000000000026045e+22,1.0000000000026044,2.065742278771842,2.261520176141463,1.1053647608140718e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,8192,logarithmic,0.5,5.346880000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,5.5586351764284365e+22,0.055586351764284364,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,16384,exponential,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,0.7240730896706159,10.000000000000002,0.9755477354182269,2.7498694585822667,1.0000000000024448e+20,1.0000000000024447,2.653037434388252,2.857284082621983,8.312343590083442e-11,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
