budget_FLOPs,context_tokens,quality_family,joint_grid_status,independent_status,N_params_B,D_tokens_B,Q_score,loss,cost_FLOPs,budget_utilization,support_feasible,solver_success,solver_message,iterations,function_evaluations,CHM_loss,independent_minus_CHM_loss
1e+19,2048,exponential,converged_feasible,feasible,0.1405393084251464,10.000000831187178,0.5668965246521379,3.262942088653703,1e+19,1.0,True,True,Optimization terminated successfully.,46,596,3.2629420811093137,7.544389113434136e-09
1e+20,2048,exponential,converged_feasible,feasible,0.9509531414038539,10.86777923615431,0.9668755589884798,2.7018200317887344,1e+20,1.0,True,True,Optimization terminated successfully.,19,441,2.7018200306354676,1.1532668153790837e-09
1e+22,2048,exponential,converged_feasible,feasible,6.271052386067811,227.12628414920465,0.9999999888153335,2.149669774378366,1e+22,1.0,True,True,Optimization terminated successfully.,36,888,2.149669772043173,2.3351929279158412e-09
1e+23,2048,exponential,converged_feasible,feasible,11.969999850711039,600.0,0.9999999968274953,2.0523920610603987,4.83338061192121e+22,0.4833380611921211,True,True,Optimization terminated successfully.,57,1392,2.0523920597927097,1.2676890648322114e-09
1e+19,2048,power,converged_feasible,feasible,0.15601595920608557,10.000000501017722,0.5000000231083601,3.270609444837318,1e+19,1.0,True,True,Optimization terminated successfully.,72,961,3.27060943910677,5.730548036098071e-09
1e+20,2048,power,converged_feasible,feasible,0.8972866136841382,10.000000053547613,0.9773013702824771,2.7208320003528246,1e+20,1.0,True,True,Optimization terminated successfully.,50,749,2.7208319995583086,7.945160085398584e-10
1e+22,2048,power,converged_feasible,feasible,6.384776461422814,219.24361251080484,0.9999999906326043,2.1510359112521114,1e+22,1.0,True,True,Optimization terminated successfully.,47,1152,2.1510359090443756,2.2077357719751944e-09
1e+23,2048,power,converged_feasible,feasible,11.969999850711039,600.0,0.9999999968274953,2.0523920610603987,4.884624658780044e+22,0.4884624658780044,True,True,Optimization terminated successfully.,57,1392,2.0523920597927097,1.2676890648322114e-09
1e+19,2048,logarithmic,converged_feasible,feasible,0.156015968436982,10.00000026071578,0.5000000067904229,3.2706094428823373,1e+19,1.0,True,True,Optimization terminated successfully.,77,1094,3.2706094391054044,3.776932988586168e-09
1e+20,2048,logarithmic,converged_feasible,feasible,0.7654922942356749,16.34315124725238,0.9999999944046847,2.643882681254079,1.0000000000000002e+20,1.0000000000000002,True,True,Optimization terminated successfully.,46,1123,2.643882678860063,2.394016096474161e-09
1e+22,2048,logarithmic,converged_feasible,feasible,5.897824981137825,256.3118681537458,0.9999999956026185,2.14525237253883,1e+22,1.0,True,True,Optimization terminated successfully.,42,1032,2.145252371433399,1.1054313020508744e-09
1e+23,2048,logarithmic,converged_feasible,feasible,11.969999850711039,600.0,0.9999999968274953,2.0523920610603987,4.676110958669396e+22,0.4676110958669396,True,True,Optimization terminated successfully.,57,1392,2.0523920597927097,1.2676890648322114e-09
1e+19,30000,exponential,converged_feasible,feasible,0.07728227964948409,10.00000015760835,0.5514332519501409,3.4435094933471735,1e+19,1.0,True,True,Optimization terminated successfully.,52,595,3.443509491117175,2.229998408154188e-09
1e+20,30000,exponential,converged_feasible,feasible,0.5692309822902406,10.000000127578511,0.970017948982425,2.786587469313033,1e+20,1.0,True,True,Optimization terminated successfully.,41,599,2.7865874690064865,3.0654634386451107e-10
1e+22,30000,exponential,converged_feasible,feasible,4.51683865710506,172.30834140091739,0.9999999674303459,2.1928430728990556,1e+22,1.0,True,True,Optimization terminated successfully.,41,1008,2.192843064872647,8.026408426786702e-09
