budget_FLOPs,context_tokens,quality_family,Q0,minimum_supported_cost_FLOPs,scientific_status,ready_for_Q3,N_params_B,D_tokens_B,Q_score,conditional_loss,cost_FLOPs,budget_utilization,interval_95_lower,interval_95_upper,kkt_relative_violation,kkt_check_pass,active_set,budget_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,Q_lower_active,Q_upper_active,support_saturated,regime,converged_starts,failure,status
1e+19,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.1405408966770969,10.000000000000002,0.5668909161659564,3.2629420811093137,1.0000000000006044e+19,1.0000000000006044,3.1680896623236032,3.369412225060411,2.916413251592013e-09,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
3e+19,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.35239915298713126,10.000000000000002,0.7575908637541688,2.963465132929142,3.000000000002252e+19,1.0000000000007507,2.869076929909772,3.0710372932607273,1.0904143793902285e-09,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
1e+20,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.9508120123308846,10.868943213318488,0.9668714855448834,2.7018200306354676,1.0000000000005662e+20,1.0000000000005662,2.607021730235459,2.8078590874636715,1.3353628057866516e-07,True,budget,True,False,False,False,False,False,False,False,budget_limited_interior,20,,converged_feasible
3e+20,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,1.4761209527109145,22.565251784854457,1.0,2.514926569592452,3.0000000000047664e+20,1.0000000000015887,2.4279722612514796,2.621088286233395,1.270082825534782e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+21,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,2.355680359029357,52.81950129521225,0.9999999999999998,2.3577802164233317,1.0000000000009851e+21,1.0000000000009852,2.2657937361529346,2.4608272927000123,5.113722026792866e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
3e+21,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,3.71090403552268,108.62149410861713,1.0,2.246351109976777,3.000000000008351e+21,1.0000000000027836,2.1531725612955044,2.349144499042228,1.3688159718524625e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,6.271047641436158,227.1264396334464,1.0,2.149669772043173,1.0000000000022746e+22,1.0000000000022746,2.058229753158215,2.253806266164084,9.892963290045811e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
3e+22,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,10.316510489661553,428.82787866900935,1.0,2.0788761784315577,3.0000000000038093e+22,1.0000000000012697,1.9836844553232929,2.1827336954160277,7.172295160968322e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+23,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.4833380673941728,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
3e+23,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.1611126891313909,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+24,2048,exponential,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,4.833380673941727e+22,0.04833380673941728,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+19,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.15601597603631454,10.000000000000002,0.5,3.27060943910677,1.0000000000023618e+19,1.0000000000023617,3.1757186858984103,3.377611894147943,0.0,True,D_min;Q0;budget,True,False,False,True,False,True,False,False,budget_limited_with_bounds,20,,converged_feasible
3e+19,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.3680420045023379,10.000000000000002,0.6608264869764738,3.0004805472539773,3.0000000000073208e+19,1.0000000000024403,2.903503183045257,3.107896740002988,1.0229601562576169e-10,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,18,,converged_feasible
1e+20,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,0.8972224339559655,10.000000000000002,0.9773234074201579,2.7208319995583086,1.0000000000060272e+20,1.0000000000060272,2.6242834846266865,2.8275378406301925,3.341425946658765e-11,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
3e+20,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,1.5487289273523253,20.52793337707929,1.0,2.5242143370124044,3.000000000007632e+20,1.0000000000025442,2.4366110107007652,2.6307943699812597,9.527887970550912e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+21,2048,power,0.5,4.4867200000000005e+18,conditional_B7_semi_synthetic,False,2.443591483816995,49.14018442731962,1.0,2.3627855684531434,1.000000000001073e+21,1.000000000001073,2.2707821816744875,2.465314396094316,1.9731449326872853e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
