N_params_B,D_tokens_B,Q_score,B7_loss,B8_loss,B8_minus_B7
0.07,10.0,0.5,3.568,2.0372,-1.5308000000000002
0.07,10.0,0.7,3.4466,2.5538,-0.8928000000000003
0.07,50.0,0.5,3.1892,1.8871,-1.3021
0.07,50.0,0.7,3.1419,2.2853,-0.8566000000000003
0.07,150.0,0.5,3.1305,1.7749,-1.3556000000000001
0.07,150.0,0.7,3.0551,2.3031,-0.7519999999999998
0.07,300.0,0.5,3.1769,1.7667,-1.4102
0.07,300.0,0.7,2.9398,2.1821,-0.7576999999999998
0.16,10.0,0.5,3.2494,1.8298,-1.4196
0.16,10.0,0.7,3.2288,2.3364,-0.8924000000000003
0.16,50.0,0.5,2.9246,1.7045,-1.2201
0.16,50.0,0.7,2.8275,2.1043,-0.7232000000000003
0.16,150.0,0.5,2.8925,1.6202,-1.2723
0.16,150.0,0.7,2.7914,2.0328,-0.7585999999999999
0.16,300.0,0.5,2.8079,1.5753,-1.2326000000000001
0.16,300.0,0.7,2.7592,1.9919,-0.7672999999999999
0.41,10.0,0.5,3.0802,1.6443,-1.4359
0.41,10.0,0.7,3.027,2.1497,-0.8773
0.41,50.0,0.5,2.7517,1.5186,-1.2331
0.41,50.0,0.7,2.6453,1.9086,-0.7367000000000001
0.41,150.0,0.5,2.6432,1.4581,-1.1851000000000003
0.41,150.0,0.7,2.605,1.8433,-0.7617
0.41,300.0,0.5,2.6321,1.4318,-1.2003
0.41,300.0,0.7,2.5426,1.8217,-0.7209000000000001
0.7,10.0,0.1,3.1919,0.615,-2.5769
0.7,10.0,0.2,3.1552,0.8685,-2.2866999999999997
0.7,10.0,0.3,3.0155,1.081,-1.9344999999999999
0.7,10.0,0.4,3.0148,1.3192,-1.6956000000000002
0.7,10.0,0.5,2.9761,1.5184,-1.4577000000000002
0.7,10.0,0.6,2.9615,1.7963,-1.1652
0.7,10.0,0.7,2.9524,2.0639,-0.8885000000000001
0.7,10.0,0.8,2.8692,2.222,-0.6472000000000002
0.7,10.0,0.9,2.7928,2.5041,-0.28869999999999996
0.7,10.0,1.0,2.8304,2.6504,-0.18000000000000016
0.7,50.0,0.1,2.8444,0.5587,-2.2857
0.7,50.0,0.2,2.8069,0.7563,-2.0506
0.7,50.0,0.3,2.7973,1.0221,-1.7752
0.7,50.0,0.4,2.7324,1.1864,-1.5460000000000003
0.7,50.0,0.5,2.6726,1.4294,-1.2432
0.7,50.0,0.6,2.6134,1.6494,-0.964
0.7,50.0,0.7,2.606,1.8129,-0.7930999999999999
0.7,50.0,0.8,2.6409,2.0562,-0.5846999999999998
0.7,50.0,0.9,2.5496,2.294,-0.2555999999999998
0.7,50.0,1.0,2.5581,2.492,-0.06610000000000005
0.7,150.0,0.1,2.7893,0.5295,-2.2598
0.7,150.0,0.2,2.6375,0.7452,-1.8923
0.7,150.0,0.3,2.6856,0.9382,-1.7473999999999998
0.7,150.0,0.4,2.5991,1.1468,-1.4523
0.7,150.0,0.5,2.5964,1.3466,-1.2498
0.7,150.0,0.6,2.5608,1.5755,-0.9853000000000001
0.7,150.0,0.7,2.5081,1.7355,-0.7726000000000002
0.7,150.0,0.8,2.5043,2.0079,-0.4964000000000004
0.7,150.0,0.9,2.4035,2.2463,-0.1572
0.7,150.0,1.0,2.3542,2.3563,0.0020999999999999908
0.7,300.0,0.1,2.6722,0.5247,-2.1475
0.7,300.0,0.2,2.6214,0.7291,-1.8923
0.7,300.0,0.3,2.5759,0.9233,-1.6525999999999998
0.7,300.0,0.4,2.5792,1.1189,-1.4603000000000002
0.7,300.0,0.5,2.5359,1.3291,-1.2067999999999999
0.7,300.0,0.6,2.4842,1.5399,-0.9442999999999999
0.7,300.0,0.7,2.4237,1.7166,-0.7071000000000003
0.7,300.0,0.8,2.4416,1.9103,-0.5313000000000001
0.7,300.0,0.9,2.4128,2.1926,-0.22019999999999973
0.7,300.0,1.0,2.3149,2.3162,0.0012999999999996348
1.0,10.0,0.1,3.0483,0.5575,-2.4907999999999997
1.0,10.0,0.2,2.968,0.7909,-2.1771
1.0,10.0,0.3,2.8948,1.009,-1.8858000000000001
1.0,10.0,0.4,2.8223,1.2421,-1.5801999999999998
1.0,10.0,0.5,2.848,1.4971,-1.3508999999999998
1.0,10.0,0.6,2.8442,1.7308,-1.1134
1.0,10.0,0.7,2.8028,1.9717,-0.8311
1.0,10.0,0.8,2.7546,2.1998,-0.5547999999999997
1.0,10.0,0.9,2.7505,2.4605,-0.29000000000000004
1.0,10.0,1.0,2.6827,2.6513,-0.031400000000000095
1.0,50.0,0.1,2.8264,0.5001,-2.3263
1.0,50.0,0.2,2.8076,0.7393,-2.0683
1.0,50.0,0.3,2.6823,0.948,-1.7343000000000002
1.0,50.0,0.4,2.6528,1.1772,-1.4756
1.0,50.0,0.5,2.6594,1.4083,-1.2511
1.0,50.0,0.6,2.6707,1.5703,-1.1004
1.0,50.0,0.7,2.5754,1.7603,-0.8151000000000002
1.0,50.0,0.8,2.4922,2.0222,-0.46999999999999975
1.0,50.0,0.9,2.5805,2.24,-0.3404999999999996
1.0,50.0,1.0,2.5615,2.4688,-0.09270000000000023
1.0,150.0,0.1,2.6482,0.5,-2.1482
1.0,150.0,0.2,2.6343,0.692,-1.9423000000000001
1.0,150.0,0.3,2.6133,0.898,-1.7153
1.0,150.0,0.4,2.5016,1.1376,-1.3639999999999999
1.0,150.0,0.5,2.5142,1.3264,-1.1878000000000002
1.0,150.0,0.6,2.5859,1.5017,-1.0842
1.0,150.0,0.7,2.4391,1.7164,-0.7226999999999999
1.0,150.0,0.8,2.3211,1.9303,-0.39080000000000004
1.0,150.0,0.9,2.3833,2.1019,-0.2814000000000001
1.0,150.0,1.0,2.334,2.2789,-0.05509999999999993
1.0,300.0,0.1,2.6943,0.5,-2.1943
1.0,300.0,0.2,2.5728,0.6746,-1.8982
1.0,300.0,0.3,2.4688,0.8578,-1.6109999999999998
1.0,300.0,0.4,2.5249,1.1116,-1.4133000000000002
1.0,300.0,0.5,2.4767,1.2964,-1.1803000000000001
1.0,300.0,0.6,2.4469,1.5153,-0.9315999999999998
1.0,300.0,0.7,2.4565,1.6587,-0.7978000000000001
1.0,300.0,0.8,2.4239,2.0053,-0.4186000000000001
1.0,300.0,0.9,2.2509,2.0139,-0.2370000000000001
1.0,300.0,1.0,2.342,2.3325,-0.009500000000000064
2.8,10.0,0.1,2.9592,0.5,-2.4592
2.8,10.0,0.2,2.8431,0.6187,-2.2244
2.8,10.0,0.3,2.8867,0.8552,-2.0315
2.8,10.0,0.4,2.771,1.1197,-1.6513
2.8,10.0,0.5,2.7452,1.3934,-1.3518000000000001
2.8,10.0,0.6,2.7064,1.6092,-1.0972
2.8,10.0,0.7,2.671,1.8538,-0.8171999999999999
2.8,10.0,0.8,2.651,2.1201,-0.5308999999999999
2.8,10.0,0.9,2.6397,2.3574,-0.2822999999999998
2.8,10.0,1.0,2.484,2.5409,0.05690000000000017
2.8,50.0,0.1,2.5785,0.5,-2.0785
2.8,50.0,0.2,2.4874,0.5815,-1.9059
2.8,50.0,0.3,2.5971,0.775,-1.8221000000000003
2.8,50.0,0.4,2.5963,1.0089,-1.5874
2.8,50.0,0.5,2.5569,1.2746,-1.2823000000000002
2.8,50.0,0.6,2.5446,1.457,-1.0876
2.8,50.0,0.7,2.4459,1.6925,-0.7534000000000001
2.8,50.0,0.8,2.3227,1.9293,-0.3934000000000002
2.8,50.0,0.9,2.3871,2.1407,-0.2464000000000004
2.8,50.0,1.0,2.2984,2.3101,0.011699999999999822
2.8,150.0,0.1,2.4446,0.5,-1.9445999999999999
2.8,150.0,0.2,2.4506,0.543,-1.9076
2.8,150.0,0.3,2.3889,0.7457,-1.6432
2.8,150.0,0.4,2.5101,0.9557,-1.5544
2.8,150.0,0.5,2.4226,1.1935,-1.2291
2.8,150.0,0.6,2.2938,1.3479,-0.9459
2.8,150.0,0.7,2.2944,1.5964,-0.698
2.8,150.0,0.8,2.2577,1.8407,-0.4169999999999998
2.8,150.0,0.9,2.2652,2.0695,-0.19569999999999999
2.8,150.0,1.0,2.2464,2.2385,-0.007899999999999796
2.8,300.0,0.1,2.446,0.5,-1.9460000000000002
2.8,300.0,0.2,2.3643,0.5456,-1.8187000000000002
2.8,300.0,0.3,2.3988,0.7388,-1.6600000000000001
2.8,300.0,0.4,2.3719,0.9673,-1.4046
2.8,300.0,0.5,2.3363,1.1519,-1.1844000000000001
2.8,300.0,0.6,2.3342,1.3023,-1.0319
2.8,300.0,0.7,2.2804,1.5956,-0.6848000000000003
2.8,300.0,0.8,2.2389,1.7798,-0.45910000000000006
2.8,300.0,0.9,2.2601,1.9735,-0.28659999999999997
2.8,300.0,1.0,2.1271,2.1322,0.0051000000000001044
4.0,10.0,0.1,2.855,0.5,-2.355
4.0,10.0,0.2,2.872,0.5947,-2.2773
4.0,10.0,0.3,2.8016,0.8162,-1.9854
4.0,10.0,0.4,2.6993,1.0969,-1.6024
4.0,10.0,0.5,2.6556,1.319,-1.3366000000000002
4.0,10.0,0.6,2.631,1.5567,-1.0742999999999998
4.0,10.0,0.7,2.6349,1.843,-0.7919
4.0,10.0,0.8,2.6463,2.1045,-0.5418000000000003
4.0,10.0,0.9,2.6487,2.3491,-0.29959999999999987
4.0,10.0,1.0,2.4852,2.4904,0.0052000000000003155
4.0,50.0,0.1,2.5657,0.5,-2.0657
4.0,50.0,0.2,2.6024,0.5298,-2.0725999999999996
4.0,50.0,0.3,2.5078,0.7483,-1.7595
4.0,50.0,0.4,2.5793,0.9837,-1.5956
4.0,50.0,0.5,2.5028,1.2097,-1.2931000000000001
4.0,50.0,0.6,2.4706,1.4472,-1.0234
4.0,50.0,0.7,2.4309,1.6591,-0.7717999999999998
4.0,50.0,0.8,2.4391,1.9213,-0.5177999999999998
4.0,50.0,0.9,2.3223,2.0499,-0.27239999999999975
4.0,50.0,1.0,2.4105,2.4043,-0.006199999999999761
4.0,150.0,0.1,2.494,0.5,-1.9940000000000002
4.0,150.0,0.2,2.4505,0.519,-1.9314999999999998
4.0,150.0,0.3,2.4411,0.706,-1.7351
4.0,150.0,0.4,2.3929,0.9268,-1.4661
4.0,150.0,0.5,2.4064,1.1676,-1.2388000000000001
4.0,150.0,0.6,2.3873,1.3551,-1.0322000000000002
4.0,150.0,0.7,2.3547,1.5337,-0.8209999999999997
4.0,150.0,0.8,2.2679,1.7552,-0.5126999999999999
4.0,150.0,0.9,2.2339,2.0344,-0.1995
