source,N,D,Q_slope,points
B7,0.07,10.0,-0.6072181818181823,10
B7,0.07,50.0,-0.5218242424242416,10
B7,0.07,150.0,-0.5455818181818165,10
B7,0.07,300.0,-0.5318242424242418,10
B7,0.07,600.0,-0.5169939393939414,10
B7,0.16,10.0,-0.5147151515151518,10
B7,0.16,50.0,-0.5425151515151506,10
B7,0.16,150.0,-0.4793454545454554,10
B7,0.16,300.0,-0.42316969696969897,10
B7,0.16,600.0,-0.4654363636363639,10
B7,0.41,10.0,-0.3875151515151526,10
B7,0.41,50.0,-0.46358787878787944,10
B7,0.41,150.0,-0.4700060606060606,10
B7,0.41,300.0,-0.4690606060606052,10
B7,0.41,600.0,-0.32610909090909124,10
B7,0.7,10.0,-0.40749090909090857,10
B7,0.7,50.0,-0.33928484848484886,10
B7,0.7,150.0,-0.4102424242424248,10
B7,0.7,300.0,-0.35549090909090936,10
B7,0.7,600.0,-0.34578787878787975,10
B7,1.0,10.0,-0.3379515151515147,10
B7,1.0,50.0,-0.31183030303030335,10
B7,1.0,150.0,-0.3734303030303035,10
B7,1.0,300.0,-0.3565757575757575,10
B7,1.0,600.0,-0.3031818181818182,10
B7,2.8,10.0,-0.4374484848484862,10
B7,2.8,50.0,-0.30657575757575845,10
B7,2.8,150.0,-0.27354545454545454,10
B7,2.8,300.0,-0.283369696969698,10
B7,2.8,600.0,-0.3022666666666665,10
B7,4.0,10.0,-0.35670303030303074,10
B7,4.0,50.0,-0.253236363636363,10
B7,4.0,150.0,-0.3072787878787887,10
B7,4.0,300.0,-0.2554242424242423,10
B7,4.0,600.0,-0.20945454545454656,10
B7,6.9,10.0,-0.2933212121212123,10
B7,6.9,50.0,-0.30249696969697065,10
B7,6.9,150.0,-0.2098848484848494,10
B7,6.9,300.0,-0.2873878787878785,10
B7,6.9,600.0,-0.23213939393939448,10
B7,11.97,10.0,-0.29818787878787884,10
B7,11.97,50.0,-0.19307878787878757,10
B7,11.97,150.0,-0.20153333333333304,10
B7,11.97,300.0,-0.21148484848484783,10
B7,11.97,600.0,-0.2687999999999999,10
B8,0.07,5.0,2.446196488858879,12
B8,0.07,10.0,2.454413793103449,4
B8,0.07,20.0,2.2699122214719782,12
B8,0.07,50.0,2.124781609195402,4
B8,0.07,100.0,2.110318703578663,12
B8,0.07,150.0,2.103103448275862,4
B8,0.07,300.0,2.004827586206896,4
B8,0.07,500.0,2.0550513166779205,12
B8,0.07,1000.0,1.9685881161377448,12
B8,0.07,2000.0,1.9717096556380822,12
B8,0.16,5.0,2.3970499662390283,12
B8,0.16,10.0,2.4073333333333338,4
B8,0.16,20.0,2.256731262660365,12
B8,0.16,50.0,2.0745517241379314,4
B8,0.16,100.0,2.0950769750168807,12
B8,0.16,150.0,2.0251724137931033,4
B8,0.16,300.0,2.0165747126436777,4
B8,0.16,500.0,1.9723835246455097,12
B8,0.16,1000.0,1.9593869007427414,12
B8,0.16,2000.0,1.9149095205941937,12
B8,0.41,5.0,2.4770938555030386,12
B8,0.41,10.0,2.3720689655172422,4
B8,0.41,20.0,2.223286968264686,12
B8,0.41,50.0,2.1200919540229886,4
B8,0.41,100.0,2.0722822417285616,12
B8,0.41,150.0,2.0553563218390805,4
B8,0.41,300.0,2.0434367816091954,4
B8,0.41,500.0,1.9723409858203917,12
B8,0.41,1000.0,1.9573693450371372,12
B8,0.41,2000.0,1.90879270762998,12
B8,0.7,5.0,2.4693828494260632,12
B8,0.7,10.0,2.3311316677920324,12
B8,0.7,20.0,2.251722484807562,12
B8,0.7,50.0,2.1268656313301824,12
B8,0.7,100.0,2.060815665091155,12
B8,0.7,150.0,2.065793382849426,12
B8,0.7,300.0,1.9957677245104657,12
B8,0.7,500.0,1.944909520594193,12
B8,0.7,1000.0,1.9309324780553683,12
B8,0.7,2000.0,1.8869851451721817,12
B8,1.0,5.0,2.5036887238352468,12
B8,1.0,10.0,2.357916272788656,12
B8,1.0,20.0,2.2410979068197165,12
B8,1.0,50.0,2.1126630654962866,12
B8,1.0,100.0,2.0995523295070897,12
B8,1.0,150.0,1.9480175557056045,12
B8,1.0,300.0,1.974714382174207,12
B8,1.0,500.0,1.9368284942606349,12
B8,1.0,1000.0,1.858821066846725,12
B8,1.0,2000.0,1.8597170830519918,12
B8,2.8,5.0,2.4523160027008784,12
B8,2.8,10.0,2.2940762997974344,12
B8,2.8,20.0,2.1992248480756245,12
B8,2.8,50.0,2.065000675219446,12
B8,2.8,100.0,1.9908460499662393,12
B8,2.8,150.0,1.962678595543552,12
B8,2.8,300.0,1.8590587440918305,12
B8,2.8,500.0,1.8569500337609726,12
B8,2.8,1000.0,1.8188804861580012,12
B8,2.8,2000.0,1.7378440243078999,12
B8,4.0,5.0,2.4530553679945983,12
B8,4.0,10.0,2.292799459824443,12
B8,4.0,20.0,2.141261985145172,12
B8,4.0,50.0,2.088315327481432,12
B8,4.0,100.0,2.0074483457123566,12
B8,4.0,150.0,1.9085509790681974,12
B8,4.0,300.0,1.9226029709655639,12
B8,4.0,500.0,1.8465604321404459,12
B8,4.0,1000.0,1.80364956110736,12
B8,4.0,2000.0,1.7780810263335585,12
B8,6.9,5.0,2.4362214719783934,12
B8,6.9,10.0,2.2725995948683324,12
B8,6.9,20.0,2.1709581363943284,12
B8,6.9,50.0,2.0305428764348417,12
