,136,301,172,477
arxiv,5.390934048526329,4.578612712433786,5.047976929658947,3.640310168493108
dm_mathematics,-0.10703351961843958,3.4671475527884743,2.4043734864830677,3.8695593859585498
freelaw,5.048497816742279,5.24905125169135,4.968010326576688,4.998399483371098
github,4.433073947009146,4.619690618335705,5.159742483084392,3.996628004759989
gutenberg_pg_19,5.185911088721871,4.4296259054335945,4.406543895443486,5.437396774379868
hackernews,4.88689908039826,4.974236503890062,5.2073085079059345,4.599639516222762
pile_cc,5.492926929108756,5.637384634744402,5.501033503483866,5.72196332578186
pubmed_abstracts,5.517733013165532,5.637262188587793,5.354226444321424,5.44780139085448
pubmed_central,5.04061803476262,5.223970523666739,4.756392921690201,4.6847184931771295
stackexchange,4.907950715963537,4.877844312471109,5.247460338935338,4.726629764178965
ubuntu_irc,3.7365356273466857,3.7413139004223557,4.589405341843425,5.797754839765078
uspto_backgrounds,5.381387966429799,5.466735805334938,5.21621376324826,5.344689560178264
wikipedia_en,5.858959504933411,5.911700475762279,5.3349135041852,5.98218534520024
