modelDirectory,sourceFile,bbhTaskCount,bbhMacroMean,bbhTaskSd,bbhTaskMin,bbhTaskMax
0-hero_Matter-0.2-7B-DPO,results_2024-08-07T13-21-02.903091.json,24,35.96254301656297,16.02353947235892,13.200000000000001,72.8
01-ai_Yi-1.5-34B,results_2024-06-19T03-56-15.142347.json,24,59.76391706360018,20.339018690292082,20,92
01-ai_Yi-1.5-34B-32K,results_2024-06-17T17-59-09.162276.json,24,60.15685776542415,18.69672459020863,23.599999999999998,91.2
01-ai_Yi-1.5-34B-Chat,results_2024-06-17T00-49-43.171619.json,24,60.83748310271819,17.565717122991316,24.8,88
01-ai_Yi-1.5-34B-Chat-16K,results_2024-07-17T11-40-22.183397.json,24,61.00218256499573,19.031765353361585,20,93.60000000000001
01-ai_Yi-1.5-6B,results_2024-06-17T14-53-45.170909.json,24,44.88346218753918,18.095321891802147,10.4,84.8
01-ai_Yi-1.5-6B-Chat,results_2024-06-17T10-38-31.759281.json,24,45.54861043778056,16.580991847726207,12.4,82
01-ai_Yi-1.5-9B,results_2024-06-16T17-52-34.155462.json,24,51.42941791041909,16.617599761313247,14.799999999999999,84.8
01-ai_Yi-1.5-9B-32K,results_2024-06-16T17-46-59.477573.json,24,49.6332115988265,17.870103510694886,11.200000000000001,83.6
01-ai_Yi-1.5-9B-Chat,results_2024-06-17T09-46-28.414421.json,24,55.59064302816848,16.759887376980394,15.6,84.39999999999999
01-ai_Yi-1.5-9B-Chat-16K,results_2024-06-16T18-02-27.668102.json,24,51.53383364651777,17.749826900218626,11.600000000000001,86.8
01-ai_Yi-34B,results_2024-06-17T01-51-43.500501.json,24,54.57099951794561,19.863679612451318,17.2,89.60000000000001
01-ai_Yi-34B-200K,results_2024-06-17T01-54-37.398814.json,24,54.41817925289528,20.33920542449961,14.399999999999999,85.2
01-ai_Yi-34B-Chat,results_2025-02-13T18-27-04.338360.json,24,55.60872910766164,19.978109771427246,14.799999999999999,85.6
01-ai_Yi-6B,results_2024-06-16T17-47-09.271300.json,24,43.092305910008655,17.550802762444775,16,79.60000000000001
01-ai_Yi-6B-200K,results_2024-06-16T17-48-55.414532.json,24,42.89294810960331,17.983616797738833,14.399999999999999,73.2
01-ai_Yi-6B-Chat,results_2024-06-16T17-51-39.036011.json,24,41.32601920754869,15.020095339541731,11.600000000000001,71.2
01-ai_Yi-9B,results_2024-06-17T09-47-58.683900.json,24,49.396075125308066,18.163175105955865,10.8,86.4
01-ai_Yi-9B-200K,results_2024-06-16T17-43-23.132103.json,24,47.93302602023642,17.760487099336935,12,81.2
01-ai_Yi-Coder-9B-Chat,results_2024-09-14T00-02-12.867980.json,24,48.14200033911168,15.764534321588899,14.799999999999999,88.4
1-800-LLMs_Qwen-2.5-14B-Hindi,results_2025-02-06T06-30-20.641880.json,24,65.23901531956199,18.369213323986383,22.400000000000002,91.60000000000001
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,results_2025-02-06T11-27-58.645224.json,24,62.84322714967582,18.548146829207678,16.8,90
1024m_PHI-4-Hindi,results_2025-02-06T05-43-08.878637.json,24,67.10015642760665,19.87966032611636,25.2,100
1024m_QWEN-14B-B100,results_2025-02-06T10-49-32.966803.json,24,65.3271132679638,18.318079692402012,20,92
152334H_miqu-1-70b-sf,results_2024-07-26T02-32-43.573766.json,24,61.02361685099691,17.12688897704772,23.599999999999998,85.6
1TuanPham_T-VisStar-7B-v0.1,results_2024-09-21T10-25-05.082341.json,24,50.522031133524656,17.094347044166735,13.600000000000001,80.80000000000001
1TuanPham_T-VisStar-v0.1,results_2024-09-21T08-53-27.413933.json,24,50.522031133524656,17.094347044166735,13.600000000000001,80.80000000000001
3rd-Degree-Burn_L-3.1-Science-Writer-8B,results_2024-11-20T00-17-49.945335.json,24,50.41306326216104,15.867334965001884,17.2,80.4
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,results_2024-10-10T16-33-29.207911.json,24,34.60942332632887,15.87593927665548,10.4,61.6
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,results_2024-11-10T09-13-13.695538.json,24,33.427703119251255,12.361426865346196,14.799999999999999,53.37078651685393
3rd-Degree-Burn_Llama-Squared-8B,results_2024-10-08T16-24-46.765820.json,24,44.310256838683536,15.727854517114636,8,68.4
4season_final_model_test_v2,results_2024-07-25T15-13-01.854583.json,24,63.42049783295019,23.025381496618987,15.2,96.8
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,results_2024-11-20T12-47-00.610130.json,24,51.198878983499036,16.66460705692789,18,81.6
AALF_FuseChat-Llama-3.1-8B-SFT-preview,results_2024-11-21T13-45-14.605333.json,24,52.40303130445232,16.29382575942909,20,82.39999999999999
AALF_gemma-2-27b-it-SimPO-37K,results_2024-09-01T02-53-57.422115.json,24,39.113439179525336,18.134395837411216,15.2,80
AALF_gemma-2-27b-it-SimPO-37K-100steps,results_2024-09-27T18-43-00.611233.json,24,39.308230769885014,18.762604540816323,15.6,83.2
Aashraf995_Creative-7B-nerd,results_2024-12-18T03-17-53.359820.json,24,56.06785565640195,15.920935660269585,18,83.6
Aashraf995_Gemma-Evo-10B,results_2024-12-18T04-35-43.057636.json,24,60.44352897552881,15.869043583321096,29.2,85.6
Aashraf995_Qwen-Evo-7B,results_2024-12-18T03-20-24.239014.json,24,57.09361538590276,15.664993822266025,17.2,84
Aashraf995_QwenStock-14B,results_2024-12-18T04-15-47.313168.json,24,65.5013034810801,18.38388147071812,23.599999999999998,92
abacusai_bigyi-15b,results_2024-09-18T06-37-06.680694.json,24,43.45298820215117,17.23558667985151,12.8,88
abacusai_Liberated-Qwen1.5-14B,results_2024-09-05T12-34-33.126455.json,24,49.48000917467187,15.943617873844708,12.8,75.2
AbacusResearch_Jallabi-34B,results_2024-07-30T05-45-04.496708.json,24,60.23380603196265,18.946105721921175,20.4,90
abideen_MedPhi-4-14B-v1,results_2025-01-13T23-03-42.989646.json,24,68.96781879584078,19.536269726069953,26.400000000000002,100
AELLM_gemma-2-aeria-infinity-9b,results_2024-10-09T11-48-07.657590.json,24,59.833366695776505,15.695825152540085,30,85.2
AELLM_gemma-2-lyco-infinity-9b,results_2024-10-10T12-58-52.149709.json,24,58.39534871023704,14.814327295706352,27.200000000000003,82.8
agentlans_Llama3.1-8B-drill,results_2024-12-27T23-35-02.383650.json,24,50.15680021795334,15.283378588197143,21.2,82.39999999999999
agentlans_Llama3.1-Daredevilish,results_2025-01-23T10-50-23.011610.json,24,50.12506630648397,17.086232778621863,14.799999999999999,82.39999999999999
agentlans_Qwen2.5-0.5B-Instruct-CrashCourse-dropout,results_2025-01-01T06-48-50.303492.json,24,33.11726760218688,15.630275154835699,9.6,62.4
AGI-0_Art-v0-3B,results_2025-01-18T12-23-40.344038.json,24,33.98105601735286,17.550681097964205,14.399999999999999,73.6
AGI-0_Artificium-llama3.1-8B-001,results_2024-09-11T00-52-31.543315.json,24,42.562150225923546,15.727185337659034,9.6,73.6
AGI-0_smartllama3.1-8B-001,results_2024-11-25T22-15-59.091478.json,24,46.701787510868165,16.557838417502328,18,78.4
Ahdoot_StructuredThinker-v0.3-MoreStructure,results_2025-01-01T03-42-11.275880.json,24,48.37690649489398,17.592717654581286,10.8,81.2
Ahdoot_Test_StealthThinker,results_2025-01-06T23-06-48.071737.json,24,46.46639813466629,18.18739156110642,8.4,80.80000000000001
AI-MO_NuminaMath-7B-CoT,results_2024-09-11T22-04-44.864778.json,24,43.141934958600125,15.205472406633241,12.8,80.4
AI-MO_NuminaMath-7B-TIR,results_2024-07-25T13-40-31.863736.json,24,41.43691337589789,15.319030241766102,13.600000000000001,77.60000000000001
AI-Sweden-Models_gpt-sw3-40b,results_2024-07-26T18-58-19.331750.json,24,32.67744702957652,17.24993229948821,4.3999999999999995,55.2
AI-Sweden-Models_Llama-3-8B-instruct,results_2024-07-22T12-09-41.340187.json,24,41.73460154515302,17.323978168063665,8.4,82
AI4free_Dhanishtha,results_2025-02-23T21-34-08.816420.json,24,34.03944494332638,14.485127873308715,8.4,55.0561797752809
AI4free_t2,results_2025-02-27T13-24-19.191994.json,24,29.101114363217693,14.629585790054694,0,51.87165775401069
AicoresSecurity_Cybernet-Sec-3B-R1-V0,results_2025-02-27T08-26-21.525046.json,24,44.97434194912941,15.364141760874624,14.399999999999999,77.60000000000001
AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,results_2025-02-27T08-25-30.321172.json,24,44.77501104993748,17.18998736388973,11.600000000000001,77.60000000000001
AicoresSecurity_Cybernet-Sec-3B-R1-V1,results_2025-03-07T07-38-49.658744.json,24,42.82342020189217,15.976647905153829,12,77.60000000000001
AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,results_2025-03-07T20-20-00.411476.json,24,43.917755171247286,15.246920890379123,14.399999999999999,78
AIDC-AI_Marco-o1,results_2025-02-01T05-51-39.702980.json,24,53.643626963987494,17.651890172770848,10.8,81.6
akhadangi_Llama3.2.1B.0.01-First,results_2025-03-10T11-47-38.291006.json,24,31.891926453372008,15.665184308957675,9.6,57.99999999999999
akhadangi_Llama3.2.1B.0.1-First,results_2025-03-10T11-38-49.477216.json,24,31.196150163368966,15.727613888588102,6.4,57.99999999999999
akhadangi_Llama3.2.1B.BaseFiT,results_2025-03-10T11-54-29.662487.json,24,31.745151457535453,15.265778983939152,11.200000000000001,58.8
Alepach_notHumpback-M0,results_2025-01-06T21-45-58.081166.json,24,29.001114363217685,14.588865729083045,2.8000000000000003,51.87165775401069
Alepach_notHumpback-M1,results_2025-01-06T21-45-56.042287.json,24,29.49800780121471,15.773225513704546,2.8000000000000003,53.93258426966292
Alepach_notHumpback-M1-v2,results_2025-01-20T06-48-43.444170.json,24,27.75640398406833,16.259192959167628,0,51.87165775401069
Alibaba-NLP_gte-Qwen2-7B-instruct,results_2024-08-12T13-03-04.687518.json,24,44.951449908184685,17.21947047291056,13.200000000000001,74.8
allenai_Llama-3.1-Tulu-3-70B,results_2024-11-28T10-27-03.067415.json,24,61.636264961999466,21.127815943685018,22.400000000000002,98.4
allenai_Llama-3.1-Tulu-3-8B-DPO,results_2024-11-22T10-05-59.254446.json,24,40.794285570441524,17.284571897282717,11.600000000000001,80.4
allenai_Llama-3.1-Tulu-3-8B-RM,results_2024-11-22T10-23-40.491308.json,24,29.500411474705043,15.86655655482252,2.4,54.49438202247191
allenai_Llama-3.1-Tulu-3-8B-SFT,results_2024-11-22T10-12-59.705361.json,24,38.718632705016454,15.719721227717198,10.4,73.6
allknowingroger_Gemma2Slerp1-2.6B,results_2024-12-06T19-34-34.054813.json,24,43.43094462630086,15.919471380862458,14.399999999999999,71.2
allknowingroger_Gemma2Slerp1-27B,results_2024-12-06T21-29-35.095408.json,24,63.989021465275215,18.802711489918373,24.4,94.39999999999999
allknowingroger_Gemma2Slerp2-27B,results_2024-12-06T21-42-19.850532.json,24,65.57274121032688,18.35208432594185,26.400000000000002,91.2
allknowingroger_Gemma2Slerp4-27B,results_2024-12-06T21-42-08.193662.json,24,65.29581339749019,18.51552155331731,26.8,91.2
allknowingroger_GemmaSlerp5-10B,results_2024-11-22T21-11-53.068712.json,24,60.54476544364229,15.661602473775595,32,86.8
allknowingroger_GemmaStock1-27B,results_2024-12-06T21-32-03.119459.json,24,65.65607454366021,18.337664276755138,29.2,91.60000000000001
