type,resource_gate,horizon_months,compute_scenario,scenario_union_lower,scenario_union_upper,with_fixed_bias_stress_lower,with_fixed_bias_stress_upper,bootstrap_draws,meaning,model_selected_in_diagnostics,resource_effect_identified
non_pretrained,primary,12,historical,37.754788736630566,79.93297073847359,31.589990204401772,86.09776927070237,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,12,half,37.754788736630566,72.23558541552815,31.589990204401772,78.40038394775695,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,12,quarter,37.754788736630566,67.76976373871935,31.589990204401772,73.93456227094813,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,12,stopped,37.754788736630566,64.61224187670341,31.589990204401772,70.77704040893221,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,24,historical,37.754788736630566,95.79801727456638,31.589990204401772,100.0,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,24,half,37.754788736630566,90.639913512014,31.589990204401772,96.80471204424279,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,24,quarter,37.754788736630566,86.31967952716984,31.589990204401772,92.48447805939864,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,primary,24,stopped,37.754788736630566,82.71651408897162,31.589990204401772,88.88131262120041,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,12,historical,37.754788736630566,78.09721123612006,31.589990204401772,84.26200976834886,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,12,half,37.754788736630566,71.1112358947417,31.589990204401772,77.27603442697048,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
non_pretrained,wide_ratio,12,quarter,37.754788736630566,67.16194147833419,31.589990204401772,73.32674001056299,80,union of per-assumption 5--95% conditional ranges and candidate points; no coverage guarantee,quantile_resource,False
