filter,type,horizon_months,scenario,eta,drift_retention,frontier_quantile,anchor_window_months,score
base_chat_domain_latest,non_pretrained,12,historical_growth,0.25,0.0,0.9,2,44.854842009526564
base_chat_domain_latest,non_pretrained,12,historical_growth,0.25,0.5,0.9,2,53.487860385348014
base_chat_domain_latest,non_pretrained,12,historical_growth,0.25,1.0,0.9,2,61.91684342420398
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,0.0,0.9,2,49.384972472927004
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,0.5,0.9,2,57.97327575476424
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,1.0,0.9,2,66.10451454162751
base_chat_domain_latest,non_pretrained,12,historical_growth,0.75,0.0,0.9,2,53.92522434386181
base_chat_domain_latest,non_pretrained,12,historical_growth,0.75,0.5,0.9,2,62.330766960884105
base_chat_domain_latest,non_pretrained,12,historical_growth,0.75,1.0,0.9,2,70.05441236058175
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,0.5,0.85,2,56.729889913133235
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,0.5,0.95,2,59.20140598346653
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,0.5,0.9,1,58.11936573354334
base_chat_domain_latest,non_pretrained,12,historical_growth,0.5,0.5,0.9,3,57.606091149232775
base_chat_domain_latest,non_pretrained,12,half_growth,0.25,0.0,0.9,2,42.616753628658394
base_chat_domain_latest,non_pretrained,12,half_growth,0.25,0.5,0.9,2,51.21910443194382
base_chat_domain_latest,non_pretrained,12,half_growth,0.25,1.0,0.9,2,59.749842066565414
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,0.0,0.9,2,44.854842009526564
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,0.5,0.9,2,53.487860385348014
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,1.0,0.9,2,61.91684342420398
base_chat_domain_latest,non_pretrained,12,half_growth,0.75,0.0,0.9,2,47.113964738241656
base_chat_domain_latest,non_pretrained,12,half_growth,0.75,0.5,0.9,2,55.742275018925575
base_chat_domain_latest,non_pretrained,12,half_growth,0.75,1.0,0.9,2,64.03739773917863
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,0.5,0.85,2,52.22113902263431
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,0.5,0.95,2,54.74474560643143
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,0.5,0.9,1,53.63707295420504
base_chat_domain_latest,non_pretrained,12,half_growth,0.5,0.5,0.9,3,53.11318155806329
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.25,0.0,0.9,2,41.50836699883421
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.25,0.5,0.9,2,50.082251898861244
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.25,1.0,0.9,2,58.651302344761525
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,0.0,0.9,2,42.616753628658394
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.9,2,51.21910443194382
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,1.0,0.9,2,59.749842066565414
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.75,0.0,0.9,2,43.732608370438584
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.75,0.5,0.9,2,52.35469712361791
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.75,1.0,0.9,2,60.838683311053536
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.85,2,49.94841357555503
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.95,2,52.48283328502222
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.9,1,51.36897788487669
base_chat_domain_latest,non_pretrained,12,quarter_growth,0.5,0.5,0.9,3,50.842945834918034
base_chat_domain_latest,non_pretrained,12,no_growth,0.25,0.0,0.9,2,40.408507838458824
base_chat_domain_latest,non_pretrained,12,no_growth,0.25,0.5,0.9,2,48.94531431508656
base_chat_domain_latest,non_pretrained,12,no_growth,0.25,1.0,0.9,2,57.544084600039376
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,0.0,0.9,2,40.408507838458824
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,0.5,0.9,2,48.94531431508656
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,1.0,0.9,2,57.544084600039376
base_chat_domain_latest,non_pretrained,12,no_growth,0.75,0.0,0.9,2,40.408507838458824
base_chat_domain_latest,non_pretrained,12,no_growth,0.75,0.5,0.9,2,48.94531431508656
base_chat_domain_latest,non_pretrained,12,no_growth,0.75,1.0,0.9,2,57.544084600039376
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,0.5,0.85,2,47.67590127541156
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,0.5,0.95,2,50.21068752237599
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,0.5,0.9,1,49.09523064124704
base_chat_domain_latest,non_pretrained,12,no_growth,0.5,0.5,0.9,3,48.569228177267135
base_chat_domain_latest,non_pretrained,24,historical_growth,0.25,0.0,0.9,2,49.384972472927004
base_chat_domain_latest,non_pretrained,24,historical_growth,0.25,0.5,0.9,2,66.10451454162751
base_chat_domain_latest,non_pretrained,24,historical_growth,0.25,1.0,0.9,2,79.5843022324441
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,0.0,0.9,2,58.40126465428128
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,0.5,0.9,2,73.72696210813075
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,1.0,0.9,2,84.86925182476384
base_chat_domain_latest,non_pretrained,24,historical_growth,0.75,0.0,0.9,2,66.88831170719631
base_chat_domain_latest,non_pretrained,24,historical_growth,0.75,0.5,0.9,2,80.14999329087135
base_chat_domain_latest,non_pretrained,24,historical_growth,0.75,1.0,0.9,2,88.97561790534617
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,0.5,0.85,2,72.73042187871584
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,0.5,0.95,2,74.69566941488367
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,0.5,0.9,1,73.842998344551
base_chat_domain_latest,non_pretrained,24,historical_growth,0.5,0.5,0.9,3,73.43434478466553
base_chat_domain_latest,non_pretrained,24,half_growth,0.25,0.0,0.9,2,44.854842009526564
base_chat_domain_latest,non_pretrained,24,half_growth,0.25,0.5,0.9,2,61.91684342420398
base_chat_domain_latest,non_pretrained,24,half_growth,0.25,1.0,0.9,2,76.46919744109533
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,0.0,0.9,2,49.384972472927004
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,0.5,0.9,2,66.10451454162751
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,1.0,0.9,2,79.5843022324441
base_chat_domain_latest,non_pretrained,24,half_growth,0.75,0.0,0.9,2,53.92522434386181
base_chat_domain_latest,non_pretrained,24,half_growth,0.75,0.5,0.9,2,70.05441236058175
base_chat_domain_latest,non_pretrained,24,half_growth,0.75,1.0,0.9,2,82.38202847969079
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,0.5,0.85,2,64.95627783649716
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,0.5,0.95,2,67.22934639683879
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,0.5,0.9,1,66.23879979796138
base_chat_domain_latest,non_pretrained,24,half_growth,0.5,0.5,0.9,3,65.76642122544233
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.25,0.0,0.9,2,42.616753628658394
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.25,0.5,0.9,2,59.749842066565414
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.25,1.0,0.9,2,74.79314343088288
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,0.0,0.9,2,44.854842009526564
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.9,2,61.91684342420398
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,1.0,0.9,2,76.46919744109533
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.75,0.0,0.9,2,47.113964738241656
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.75,0.5,0.9,2,64.03739773917863
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.75,1.0,0.9,2,78.06648891719789
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.85,2,60.71106032367459
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.95,2,63.103077340126156
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.9,1,62.058196775634784
base_chat_domain_latest,non_pretrained,24,quarter_growth,0.5,0.5,0.9,3,61.56126859002554
base_chat_domain_latest,non_pretrained,24,no_growth,0.25,0.0,0.9,2,40.408507838458824
base_chat_domain_latest,non_pretrained,24,no_growth,0.25,0.5,0.9,2,57.544084600039376
base_chat_domain_latest,non_pretrained,24,no_growth,0.25,1.0,0.9,2,73.0397970100006
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,0.0,0.9,2,40.408507838458824
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,0.5,0.9,2,57.544084600039376
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,1.0,0.9,2,73.0397970100006
base_chat_domain_latest,non_pretrained,24,no_growth,0.75,0.0,0.9,2,40.408507838458824
base_chat_domain_latest,non_pretrained,24,no_growth,0.75,0.5,0.9,2,57.544084600039376
base_chat_domain_latest,non_pretrained,24,no_growth,0.75,1.0,0.9,2,73.0397970100006
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,0.5,0.85,2,56.29757301658684
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,0.5,0.95,2,58.77583837362179
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,0.5,0.9,1,57.690577682178976
base_chat_domain_latest,non_pretrained,24,no_growth,0.5,0.5,0.9,3,57.175920117815615
base_chat_domain_latest,pretrained,12,historical_growth,0.25,0.0,0.9,2,23.93212672808262
base_chat_domain_latest,pretrained,12,historical_growth,0.25,0.5,0.9,2,30.037666562232165
base_chat_domain_latest,pretrained,12,historical_growth,0.25,1.0,0.9,2,36.944337632965265
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.0,0.9,2,26.24493907825878
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.9,2,32.686975322960336
base_chat_domain_latest,pretrained,12,historical_growth,0.5,1.0,0.9,2,39.8557855107194
base_chat_domain_latest,pretrained,12,historical_growth,0.75,0.0,0.9,2,28.696942106024306
base_chat_domain_latest,pretrained,12,historical_growth,0.75,0.5,0.9,2,35.45154698036361
base_chat_domain_latest,pretrained,12,historical_growth,0.75,1.0,0.9,2,42.84078921550847
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.85,2,27.03675641459131
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.95,2,35.564846659393375
