filter,type,window_months,n_start,n_end,frontier_start,frontier_end,observed_change,unexplained_change,accounting_non_scale_including_unexplained,accounting_scale_share,accounting_non_scale_share,logN_start,logN_end,t_start,t_end,scale_points,non_scale_points,total_model_points,signed_scale_share,signed_non_scale_share,absolute_scale_share,absolute_non_scale_share
base_chat_domain_latest,non_pretrained,1,219,207,27.637076791310804,40.55304574400703,12.915968952696225,17.554319334521143,26.338849601189096,-1.0392468964313224,2.0392468964313224,1.8485216407506466,1.1692628640864462,0.8213552361396304,8.969199178644764,-13.422880648492871,8.784530266667954,-4.638350381824917,2.8938910482247264,-1.8938910482247266,0.6044324887656839,0.3955675112343161
base_chat_domain_latest,non_pretrained,2,326,436,29.834186173467337,40.40850783845882,10.57432166499148,16.262006360727728,24.539823485448995,-1.3206995458340607,2.320699545834061,1.8485216407506466,1.1692628640864462,0.8542094455852156,8.24640657084189,-13.965501820457515,8.277817124721267,-5.687684695736248,2.455393111176979,-1.455393111176979,0.6278515294806993,0.3721484705193006
base_chat_domain_latest,non_pretrained,3,449,633,31.9051646213935,40.04656495063281,8.141400329239314,15.014269648426172,22.559349105448227,-1.770942122134417,2.770942122134417,1.8485216407506466,1.1692628640864462,1.3141683778234086,7.852156057494867,-14.417948776208913,7.545079457022055,-6.872869319186858,2.0978063319141835,-1.0978063319141833,0.6564645195143883,0.34353548048561167
base_chat_domain_latest,pretrained,1,80,15,25.095135238598946,16.705293564317085,-8.389841674281861,-5.698648683538721,2.546026222780551,1.3034653479320253,-0.3034653479320253,1.8550459464332407,1.0047119129577218,0.3613963039014374,9.19917864476386,-10.935867897062412,8.244674906319272,-2.69119299074314,4.06357624097505,-3.06357624097505,0.5701542448076251,0.42984575519237495
base_chat_domain_latest,pretrained,2,97,41,25.278921557163663,21.76298915231794,-3.5159324048457243,0.6586273095517035,7.651086619910664,3.1761188040378117,-2.1761188040378117,1.8485216407506466,0.9657659641826862,0.3613963039014374,7.983572895277208,-11.167019024756389,6.992459310358961,-4.174559714397428,2.6750171967220933,-1.675017196722093,0.6149416199452437,0.3850583800547564
base_chat_domain_latest,pretrained,3,109,57,24.1477084991084,20.739515612329917,-3.408192886778483,1.3260226486592366,7.6478892432548715,3.243971951506496,-2.243971951506496,1.8485216407506466,0.9352407547306836,0.3942505133470226,7.5893223819301845,-11.056082130033355,6.321866594595635,-4.73421553543772,2.335356733818652,-1.335356733818652,0.6362133014217072,0.3637866985782929
expanded_latest,non_pretrained,1,308,337,25.945931860332067,41.535420640704714,15.589488780372648,19.9543538405512,28.673630948556934,-0.8392925741514614,1.8392925741514614,1.8485216407506466,1.1692628640864462,0.8213552361396304,8.936344969199178,-13.084142168184286,8.719277108005734,-4.364865060178552,2.997605192323874,-1.997605192323874,0.6000958841566908,0.39990411584330915
expanded_latest,non_pretrained,2,442,711,28.299146763372782,40.67628242552744,12.377135662154657,17.714457612785598,26.110295337548536,-1.1095587905193212,2.109558790519321,1.8485216407506466,1.1692628640864462,0.8213552361396304,8.279260780287474,-13.73315967539388,8.39583772476294,-5.33732195063094,2.5730431483096954,-1.5730431483096956,0.6205956567782216,0.3794043432217784
expanded_latest,non_pretrained,3,593,1033,30.153292444919593,40.44666524625459,10.293372801334996,16.58238167183181,24.47800850873692,-1.3780357499110738,2.378035749911074,1.8485216407506466,1.1692628640864462,1.0841889117043122,7.885010266940451,-14.184635707401922,7.895626836905107,-6.289008870496815,2.2554644141059024,-1.2554644141059024,0.6424124567784706,0.3575875432215294
expanded_latest,pretrained,1,88,25,24.257775438060886,15.48826123889548,-8.769514199165405,-2.665513785411137,2.611719021658912,1.297817981970708,-0.2978179819707081,1.8485216407506466,0.8400433306034939,0.3613963039014374,9.19917864476386,-11.381233220824317,5.277232807070049,-6.104000413754268,1.8645531535644646,-0.8645531535644645,0.6832101588325481,0.31678984116745185
