budget_FLOPs,context_tokens,quality_family,producer_status,bridge_grade,upstream_conditional_loss,N_params_B,status,assumption_score,empirically_calibrated_score,transfer_error_sensitivity_lower,transfer_error_sensitivity_upper,assumption,joint_95_prediction_interval
1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,high,3.081021893272243,0.0997375699940856,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,3.081021893272243,0.0997375699940856,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,2048,power,infeasible_within_v8_support,high,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,2048,power,infeasible_within_v8_support,medium_heterogeneous,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,high,3.1501810038160194,0.0776252724079543,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,medium_heterogeneous,3.1501810038160194,0.0776252724079543,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,high,3.1288356220616755,0.0836926488052591,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,medium_heterogeneous,3.1288356220616755,0.0836926488052591,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,8192,power,infeasible_within_v8_support,high,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,8192,power,infeasible_within_v8_support,medium_heterogeneous,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
1e+19,8192,logarithmic,infeasible_within_v8_support,high,,,out_of_support_or_infeasible,,,,,Q3 conditional Loss equals this C6 Loss coordinate; not established by attachments,
