type,test_month,train_n,test_n,actual_q90,constant,monthly_trend,resource_dynamic,gC_visible,developer_overlap_test_fraction,model_overlap_test_fraction,individual_score_rmse
non_pretrained,2024-10,818,245,35.57798133915301,32.96245576601172,35.69137712990447,34.15663701199849,0.5514419708475456,0.5183673469387755,0.00816326530612245,7.391127979500303
non_pretrained,2024-11,1061,210,35.97486657737435,33.26843208591792,38.01382058283656,34.479923221490374,0.5514419708475456,0.6476190476190476,0.014285714285714285,8.594889465081677
non_pretrained,2024-12,1268,284,40.879388435490256,35.802996484642264,39.0946973151915,37.07886128571016,0.5514419708475456,0.397887323943662,0.0,8.167126069420384
non_pretrained,2025-01,1552,380,39.98202382805652,39.39434608539336,42.30542147632324,40.879460601217986,0.5514419708475456,0.4710526315789474,0.0,8.175131644663244
non_pretrained,2025-02,1932,288,40.927698291627436,40.11221624847365,43.317498099967686,41.50354355219338,0.6903147486034148,0.6805555555555556,0.0,8.500493569682575
non_pretrained,2025-03,2220,152,41.88720503549621,40.27160631580967,43.28442279412698,40.89959726758255,0.6903147486034148,0.7631578947368421,0.006578947368421052,8.975373600323318
pretrained,2024-10,141,10,21.680232878688997,27.248971934285013,30.434645948383345,28.235590294952523,0.5514419708475456,0.4,0.0,4.893932915968155
pretrained,2024-11,151,26,17.11240379544173,26.612350201000492,25.651051690987153,27.919402032434153,0.5514419708475456,0.23076923076923078,0.0,4.347248180807143
pretrained,2024-12,177,15,29.855708146676605,21.684984665404777,20.188333170131166,22.348652268418764,0.5514419708475456,0.8,0.13333333333333333,8.896712163773598
pretrained,2025-01,190,30,9.548637162391934,24.511704745958717,25.942549112873667,25.342535540214154,0.5514419708475456,0.8333333333333334,0.0,3.3927378560019963
pretrained,2025-02,220,13,23.363581386840295,22.870315183832002,16.256192360091706,23.431576092035247,0.6903147486034148,0.23076923076923078,0.0,5.258584031098517
pretrained,2025-03,233,17,15.483182122890689,21.031852242449958,18.49285922369676,21.217950191907697,0.6903147486034148,0.0,0.0,5.412751244923178
